anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,Chinese-Simplified Word
0,0,0,0,0,0,0,0,0,0,熟人
0,0,0,0,0,0,0,0,0,0,熟悉的
0,0,0,0,0,0,0,0,0,0,默认
0,0,0,0,0,0,1,0,0,0,获得
0,1,0,0,0,0,1,0,0,0,获取
0,0,0,0,0,0,0,0,0,0,获得
0,0,0,0,0,0,0,0,0,0,收购
0,0,0,0,0,0,0,0,0,0,面积
0,0,0,0,0,0,0,0,0,0,英亩
0,0,0,1,1,0,1,0,0,1,杂技演员
0,0,0,0,0,0,0,0,0,0,行为
0,0,0,0,0,0,0,0,0,0,演戏
0,0,0,0,0,0,1,0,0,0,行动
1,0,1,0,0,1,0,0,0,0,可操作的
0,0,0,0,0,0,0,0,0,0,积极的
0,0,0,0,0,0,0,0,0,0,活动
0,0,0,0,0,0,0,0,0,0,演员
0,0,0,0,0,0,1,0,0,0,实际的
0,0,0,0,0,0,0,0,0,0,现实
0,0,0,0,0,0,0,0,0,0,精算师
0,0,0,0,0,0,1,0,0,0,敏锐度
0,0,0,0,0,0,1,0,0,0,敏锐
0,0,0,0,0,0,0,0,0,0,针刺
0,0,0,0,0,0,0,0,0,0,尖锐地
0,0,0,0,0,0,0,0,0,0,谚语
0,0,0,0,0,0,0,0,0,0,固执的
0,0,0,0,0,0,1,0,0,0,适应
0,0,0,0,0,0,1,0,0,0,适应性强
0,0,0,0,0,0,0,0,0,0,添加
0,0,0,0,0,0,0,0,0,0,添加
0,0,0,0,0,0,0,0,0,0,附录
1,0,1,1,0,1,0,1,0,0,加法器
0,0,0,0,0,1,0,0,0,0,瘾
0,0,0,0,0,0,0,0,0,0,添加
0,0,0,0,0,0,0,0,0,0,额外的
0,0,0,0,0,0,0,0,0,0,添加剂
0,0,0,0,0,0,0,0,0,0,地址
0,0,0,0,0,0,0,0,0,0,收件人
0,1,0,0,0,0,1,0,0,0,地址
0,0,0,0,0,0,1,0,0,0,行家
0,0,0,0,0,0,1,0,0,0,充分性
0,0,0,0,0,0,0,0,0,0,足够的
0,0,0,0,0,0,0,0,0,0,坚持
0,0,0,0,0,0,0,0,0,0,依从性
0,0,0,0,0,0,0,0,0,0,依附的
0,0,0,0,0,0,0,0,0,1,坚持
0,0,0,0,0,0,0,0,0,0,附着力
0,0,0,0,0,0,0,0,0,0,粘合剂
0,0,0,0,0,0,0,0,0,0,再见
0,0,0,0,0,1,0,0,0,0,脂肪
0,0,0,0,0,0,0,0,0,0,邻接
0,0,0,0,0,0,0,0,0,0,邻近的
0,0,0,0,0,0,0,0,0,0,形容词
0,0,0,0,0,0,0,0,0,0,毗邻的
0,0,0,0,0,0,0,0,0,0,休会
0,0,0,0,0,0,0,0,0,0,休会
0,0,0,1,0,1,0,0,0,0,裁定
0,0,0,0,0,0,0,0,0,0,裁决
0,0,0,0,0,0,1,0,0,0,附件
0,0,0,0,0,0,0,0,0,0,调整
0,0,0,0,0,0,0,0,0,0,调整
0,0,0,0,0,0,0,0,0,0,佐剂
0,0,0,0,0,0,0,0,0,0,管理
0,0,0,0,0,0,0,0,0,0,行政
0,0,0,0,0,0,0,0,0,1,行政的
0,0,0,0,1,0,1,0,0,1,令人钦佩
0,0,0,0,0,0,1,0,0,1,上将
0,0,0,0,0,0,0,0,0,0,金钟
0,0,0,0,1,0,1,0,0,1,钦佩
0,0,0,0,0,0,1,0,0,1,钦佩
0,0,0,0,0,0,1,0,0,0,爱慕者
0,0,0,0,0,0,0,0,0,0,可受理性
0,0,0,0,0,0,1,0,0,1,可接受的
0,0,0,0,0,0,0,0,0,0,录取
0,0,0,0,0,0,0,0,0,0,承认
0,0,0,0,0,0,0,0,0,0,准入
0,0,0,0,0,0,0,0,0,0,录取
0,0,0,0,0,0,0,0,0,0,承认
0,0,0,0,0,0,0,0,0,0,混合物
0,0,0,1,0,1,0,0,0,0,警告
0,0,0,0,0,0,0,0,0,0,废话
0,0,0,0,0,0,0,0,0,0,土坯
0,0,0,0,0,0,0,0,0,0,青春期
0,0,0,0,0,0,0,0,0,0,青少年
0,0,0,0,0,0,0,0,0,0,采纳
0,0,0,0,0,0,0,0,0,0,采用
0,0,0,0,1,0,1,0,0,0,可爱的
0,0,0,0,1,0,1,0,0,1,崇拜
0,1,0,0,1,0,1,0,0,1,崇拜
0,0,0,0,0,0,0,0,0,0,装饰
0,0,0,0,0,0,0,0,0,0,装饰
0,1,0,1,0,1,0,1,0,0,漂流
0,0,0,0,0,0,0,0,0,0,成人
0,0,0,0,0,1,0,0,0,0,掺假
0,0,1,0,0,1,0,1,0,0,通奸
0,1,0,1,1,0,1,0,1,0,进步
0,0,0,0,0,0,1,0,0,0,先进的
0,0,0,0,0,0,1,0,0,0,进步
0,0,0,0,0,0,0,0,0,0,前进
0,0,0,0,0,0,1,0,0,0,优势
0,0,0,0,0,0,1,0,0,0,有利
0,1,0,0,1,0,1,0,0,1,来临
0,1,0,0,0,0,1,0,0,0,冒险
0,0,0,0,0,0,0,0,0,0,冒险家
0,0,0,0,0,0,1,0,0,0,冒险的
1,0,0,0,0,1,0,0,0,0,对手
1,0,1,1,0,1,0,1,0,0,不利的
1,0,0,1,0,1,0,1,0,0,逆境
0,0,0,0,0,0,0,0,0,0,广告
0,0,0,0,0,0,0,0,0,0,广告
0,0,0,0,0,0,0,0,0,1,建议
0,0,0,0,0,0,1,0,0,1,可取的
0,0,0,0,0,0,1,0,0,1,建议
0,0,0,0,0,0,0,0,0,1,建议
0,0,0,0,0,0,0,0,0,0,建议
0,0,0,0,0,0,1,0,0,1,顾问
1,1,0,0,1,0,1,0,0,1,倡导
0,0,0,0,0,0,0,0,0,1,提倡
0,0,0,0,0,0,0,0,0,0,宙斯盾
0,0,0,0,0,0,0,0,0,0,通风
0,0,0,0,0,0,0,0,0,0,天线
0,0,0,0,0,0,0,0,0,0,机场
0,0,0,0,0,0,0,0,0,0,空气动力学
0,0,0,0,0,0,0,0,0,0,航空学
0,0,0,0,0,0,0,0,0,0,飞机
0,0,0,0,0,0,1,0,0,0,审美的
0,0,0,0,1,0,1,0,0,0,美学
0,0,0,0,0,0,0,0,0,0,病因学
0,0,0,0,0,0,0,0,0,0,远方
0,0,0,0,0,0,1,0,0,0,和蔼可亲
0,0,0,0,0,0,0,0,0,0,事务
0,0,0,0,0,0,0,0,0,0,影响
0,0,0,0,1,0,1,0,0,1,感情
0,0,0,0,0,0,0,0,0,0,感情
0,0,0,0,0,0,0,0,0,0,贴文
0,0,0,0,0,0,0,0,0,0,宣誓书
0,0,0,0,0,0,1,0,0,0,附属
0,0,0,0,0,0,0,0,0,0,联系
0,0,0,0,0,0,0,0,0,0,亲和力
0,0,0,0,0,0,1,0,0,1,确认
0,0,0,0,0,0,1,0,0,0,肯定
0,0,0,0,0,0,1,0,0,0,肯定
0,0,0,0,0,0,1,0,0,1,肯定的
0,0,0,0,0,0,0,0,0,0,词缀
0,0,0,1,0,1,0,1,0,0,折磨
0,0,0,0,0,1,0,0,0,0,受苦
0,0,1,1,0,1,0,1,0,0,痛苦
0,0,0,0,1,0,1,0,0,0,富裕
0,0,0,0,0,0,1,0,0,0,富裕的
0,0,0,0,0,0,1,0,0,0,买得起
1,0,1,1,0,1,0,1,1,0,冒犯
0,0,0,0,0,0,0,0,0,0,远方
0,0,0,0,0,0,0,0,0,0,之前
0,0,0,0,0,0,0,0,0,0,前述
0,0,0,0,0,0,0,0,0,0,上述
0,0,0,1,0,1,0,0,0,0,害怕
0,0,0,0,0,0,0,0,0,0,重新
0,0,0,0,0,0,0,0,0,0,船尾
1,0,1,1,0,1,0,1,0,0,后果
0,0,0,0,0,0,0,0,0,0,下午
0,0,0,0,0,1,0,0,0,0,回味
0,0,0,0,0,0,0,0,0,0,事后诸葛亮
0,0,0,1,0,0,1,0,0,1,阿加
0,0,0,0,0,0,0,0,0,0,玛瑙
0,0,0,0,0,0,0,0,0,0,年龄
0,0,0,0,0,0,0,0,0,0,陈年
0,0,0,0,0,0,0,0,0,0,机构
0,0,0,0,0,0,0,0,0,0,代理人
0,0,0,0,0,0,0,0,0,0,集聚
1,0,0,0,0,1,0,0,0,0,加重
1,0,0,0,0,1,0,1,0,0,加重
1,0,1,0,0,1,0,0,0,0,加重
0,0,0,0,0,0,0,0,0,0,总计的
0,0,0,0,0,0,0,0,0,0,聚合
1,0,0,1,0,1,0,0,0,0,侵略
1,0,0,1,0,1,0,0,0,0,挑衅的
1,0,0,1,0,1,0,0,0,0,侵略者
0,0,1,1,0,1,0,0,1,0,吓坏了
0,0,0,0,0,0,1,0,0,0,敏捷
0,0,0,0,0,0,1,0,0,0,敏捷
1,0,0,0,0,1,0,0,0,0,激动
1,0,0,0,0,1,0,0,0,0,搅动
0,0,0,0,0,0,0,0,0,0,不可知论者
0,0,0,0,0,0,0,0,0,0,前
0,0,0,1,0,1,0,0,0,0,痛苦的
1,0,0,1,0,1,0,1,0,0,痛苦
0,0,0,0,0,0,1,0,0,0,同意
0,0,0,0,0,0,1,0,0,1,合适的
0,0,0,0,0,0,1,0,0,1,同意
0,0,0,0,0,0,1,0,0,1,同意
0,0,0,0,0,0,1,0,0,1,协议
0,0,0,0,0,0,0,0,0,0,农业
0,0,0,0,0,0,1,0,0,0,农业
0,0,0,0,0,1,0,0,0,0,搁浅
0,0,0,0,0,0,0,0,0,0,阿瓜
0,0,0,0,0,0,1,0,0,0,先
0,0,0,0,0,0,1,0,0,0,援助
0,0,0,0,0,0,1,0,0,0,帮助
0,0,0,0,0,1,0,1,0,0,全部
0,0,0,1,0,1,0,1,0,0,生病了
0,0,0,0,0,0,0,0,0,0,病痛
0,0,0,0,0,0,0,0,0,0,目标
0,0,0,0,0,1,0,0,0,0,漫无目的
0,0,0,0,0,0,0,0,0,0,空气
0,0,0,0,0,0,0,0,0,0,安全气囊
0,0,0,0,0,0,0,0,0,0,空运
0,0,0,0,0,0,0,0,0,0,航空公司
0,0,0,0,0,0,0,0,0,0,空军
0,0,0,0,0,0,0,0,0,0,飞机
0,1,0,0,0,0,0,0,0,0,飞机场
0,0,1,0,0,1,0,0,0,0,装腔作势
0,0,0,0,0,0,0,0,0,0,飞艇
0,0,0,0,0,0,0,0,0,0,走道
0,0,0,0,0,0,0,0,0,0,艾特
0,0,0,0,0,0,0,0,0,0,半开着
0,0,0,0,0,0,0,0,0,1,类似的
0,0,0,0,0,0,1,0,0,0,雪花石膏
0,0,0,1,0,1,0,0,1,0,警报
0,0,0,1,0,1,0,0,1,0,令人震惊的
0,0,0,0,0,0,0,0,0,1,alb
0,0,0,0,0,0,0,0,0,0,专辑
0,0,0,0,0,0,0,0,0,0,炼金术
0,0,0,0,0,0,0,0,0,0,酒精
1,0,1,1,0,1,0,1,0,0,酗酒
0,0,0,0,0,0,0,0,0,0,壁龛
0,0,0,0,0,0,0,0,0,0,警报
0,1,0,1,0,0,1,0,1,0,警觉
0,1,0,1,0,0,0,0,1,0,警报
0,0,0,0,0,0,0,0,0,0,苜蓿
0,0,0,0,0,0,0,0,0,0,代数
0,0,0,0,0,0,0,0,0,0,代数的
0,0,0,0,0,0,0,0,0,0,算法
0,0,0,0,0,0,0,0,0,0,不在场证明
0,0,1,1,0,1,0,0,0,0,外星人
1,0,1,0,0,1,0,0,0,0,离间
0,0,0,0,0,1,0,1,0,0,疏远
1,0,1,1,0,1,0,1,0,0,异化
0,0,0,0,0,0,0,0,0,0,下车
0,0,0,0,0,0,0,0,0,0,对齐
0,0,0,0,0,0,0,0,0,0,结盟
0,0,0,0,0,0,0,0,0,0,一样
0,0,0,0,0,0,1,0,0,0,营养
0,0,0,0,0,1,0,0,0,0,赡养费
0,0,0,0,0,0,0,0,0,0,等分
0,1,0,0,1,0,1,0,0,1,活
0,0,0,0,0,0,0,0,0,0,碱
0,0,0,0,0,0,0,0,0,0,生物碱
0,0,0,0,0,0,1,0,0,0,缓和
1,0,0,0,0,1,0,0,0,0,指控
0,0,0,0,0,1,0,0,0,0,指控
0,0,0,0,0,0,0,0,0,0,据称
0,0,0,0,0,0,1,0,0,1,忠诚
0,0,0,0,0,0,0,0,0,0,寓言的
0,0,0,0,0,0,0,0,0,0,寓言
0,0,0,0,0,0,1,0,0,0,快板
0,0,0,0,0,0,1,0,0,0,减轻
0,0,0,0,0,0,1,0,0,0,缓解
0,0,0,0,0,0,0,0,0,0,胡同
0,0,0,0,0,0,0,0,0,1,联盟
0,0,0,0,0,0,1,0,0,1,盟军
0,0,0,0,0,0,0,0,0,0,鳄鱼
0,0,0,0,0,0,0,0,0,0,分配
0,0,0,0,0,0,0,0,0,0,分配
0,0,0,0,0,0,0,0,0,0,分配
0,0,0,0,0,0,0,0,0,0,分配
0,0,0,0,0,0,1,0,0,0,允许的
0,0,0,0,0,0,0,0,0,0,津贴
0,0,0,0,0,0,0,0,0,0,允许
0,0,0,0,0,0,0,0,0,0,合金
0,1,0,0,1,0,1,0,1,0,引诱
0,0,0,0,0,0,1,0,0,0,诱人的
0,0,0,0,0,0,0,0,0,0,典故
0,0,0,0,0,0,0,0,0,0,冲积层
0,0,0,0,0,0,1,0,0,1,盟国
0,0,0,0,0,0,0,0,0,0,年历
0,0,0,0,0,0,1,0,0,0,万能的
0,0,0,0,0,0,0,0,0,0,高空
0,1,0,0,1,0,1,0,0,0,阿罗哈
0,0,0,0,0,0,0,0,0,0,旁边
0,0,0,0,0,1,0,0,0,0,超然
0,0,0,0,0,0,0,0,0,0,大声
0,0,0,0,0,0,0,0,0,0,字母
0,0,0,0,0,0,0,0,0,0,按字母顺序
0,0,0,0,0,0,0,0,0,0,坛
0,0,0,0,0,0,0,0,0,0,改变
0,0,0,0,0,0,0,0,0,0,改造
1,0,0,0,0,1,0,0,0,0,争吵
0,0,0,0,0,0,0,0,0,0,改变
0,0,0,0,0,0,0,0,0,0,备用
0,0,0,0,0,0,0,0,0,0,选择
0,0,0,0,0,0,0,0,0,0,高度
0,0,0,0,0,0,0,0,0,0,中音
0,0,0,0,0,0,0,0,0,0,共
0,0,0,0,0,0,0,0,0,0,校友
0,0,0,0,0,0,0,0,0,0,肺泡
0,0,0,0,0,0,0,0,0,0,汞合金
0,0,0,0,0,0,0,0,0,0,合并
0,0,0,0,0,0,0,0,0,0,积累
0,0,0,0,0,0,0,0,0,0,业余
0,0,0,0,0,0,0,0,1,0,惊奇
0,0,0,0,0,0,0,0,0,0,惊愕
0,0,0,0,1,0,1,0,1,0,惊人地
0,0,0,0,0,0,1,0,0,1,大使
0,0,0,0,0,0,0,0,0,0,琥珀色
0,0,0,0,0,0,0,0,0,0,周围
0,0,0,0,0,0,0,0,0,0,模棱两可
0,0,0,0,0,1,0,0,0,0,模糊的
0,0,0,0,0,0,0,0,0,0,范围
0,1,0,0,1,0,1,0,0,1,志向
0,0,0,0,0,0,0,0,0,0,雄心勃勃
0,0,0,1,0,0,0,0,0,1,救护车
1,0,0,1,0,1,0,0,1,0,伏击
0,0,0,0,0,0,1,0,0,0,改善
0,0,0,0,1,0,1,0,0,1,阿门
0,0,0,0,0,0,1,0,0,0,顺从
0,0,0,0,0,0,1,0,0,0,修正
0,0,0,0,0,0,0,0,0,0,修正案
0,0,0,0,0,0,1,0,0,0,修正
0,0,0,0,0,0,1,0,0,0,便利设施
0,0,0,0,0,0,0,0,0,0,紫晶
0,0,0,0,0,0,1,0,0,0,可亲
0,0,0,0,1,0,1,0,0,0,友善的
0,0,0,0,0,0,0,0,0,0,之中
0,0,0,0,0,0,0,0,0,0,当中
0,0,1,0,0,0,0,0,0,0,氨
0,0,0,0,0,0,0,0,0,0,弹药
0,0,0,0,0,1,0,0,0,0,健忘症
0,0,0,0,1,0,1,0,0,0,大赦
0,0,0,0,0,0,0,0,0,0,无定形
0,0,0,0,0,0,0,0,0,1,摊销
0,0,0,0,0,0,0,0,0,0,数量
0,1,0,0,1,0,1,0,0,1,恋情
0,0,0,0,0,0,0,0,0,0,和号
0,0,1,0,0,1,0,0,0,0,苯丙胺类
0,0,0,0,0,0,0,0,0,0,两栖动物
0,0,0,0,0,0,0,0,0,0,水陆两用
0,0,0,0,0,0,0,0,0,0,圆形剧场
0,0,0,0,0,0,0,0,0,0,放大
0,0,0,0,0,0,0,0,0,0,放大
0,0,0,0,0,0,0,0,0,0,振幅
0,0,0,0,0,0,0,0,0,0,充分
0,0,0,0,0,0,0,0,0,0,截肢
0,0,0,0,0,0,0,0,0,0,护身符
0,0,0,0,1,0,1,0,0,0,逗乐
0,0,0,0,1,0,1,0,0,0,逗乐了
0,0,0,0,1,0,1,0,0,0,娱乐
0,0,0,0,1,0,1,0,0,0,有趣
0,0,0,0,0,0,0,0,0,0,安娜
0,0,1,1,0,1,0,0,0,0,蟒蛇
0,0,0,0,0,0,0,0,0,0,麻醉
0,0,0,0,0,0,0,0,0,0,麻药
0,0,0,0,0,1,0,0,0,0,肛门
0,0,0,0,0,0,0,0,0,0,镇痛剂
0,0,0,0,0,0,0,0,0,0,类似的
0,0,0,0,0,0,0,0,0,0,类似物
0,0,0,0,0,0,0,0,0,0,比喻
0,0,0,0,0,0,0,0,0,0,分析
0,1,0,0,0,0,1,0,0,1,分析师
0,0,0,0,0,0,0,0,0,0,分析的
0,0,0,0,0,0,0,0,0,0,分析
0,0,0,0,0,0,0,0,0,0,分析仪
1,0,0,1,0,1,0,0,0,0,无政府主义
1,0,0,1,0,1,0,0,0,0,无政府主义者
1,0,0,1,0,1,0,0,0,0,无政府状态
0,0,0,0,0,0,0,0,0,0,吻合
1,0,1,1,0,1,0,1,0,0,诅咒
0,0,0,0,0,0,0,0,0,0,解剖学
0,0,0,0,0,0,0,0,0,0,解剖学
0,0,0,0,0,0,0,0,0,0,祖先
0,0,0,0,0,0,0,0,0,1,祖传的
0,0,0,0,0,0,0,0,0,0,祖先
0,0,0,0,0,0,1,0,0,0,锚
0,0,0,0,0,0,1,1,0,0,锚地
0,0,0,0,0,1,0,0,0,0,古老的
0,0,0,0,0,0,0,0,0,0,辅助
0,0,0,0,0,0,0,0,0,0,雄激素
0,0,0,0,0,0,0,0,0,0,海葵
0,0,0,0,0,0,0,0,0,0,重新
0,1,0,0,1,0,1,0,1,1,天使
0,0,0,0,1,0,1,0,0,1,天使般的
1,0,0,0,0,1,0,0,0,0,愤怒
0,0,0,1,0,1,0,0,0,0,心绞痛
0,0,0,0,0,0,0,0,0,0,血管造影
0,0,0,0,0,0,0,0,0,0,角度
0,1,0,0,0,1,0,0,0,0,钓鱼
1,0,1,0,0,1,0,0,0,0,生气的
1,0,0,1,0,1,0,1,0,0,苦恼
0,0,0,0,0,0,0,0,0,0,有角度的
0,0,0,0,0,0,0,0,0,0,无水
0,0,0,0,0,0,0,0,0,0,动物
0,0,0,0,0,0,1,0,0,0,动画
0,0,0,0,1,0,1,0,0,0,动画
0,0,0,0,0,0,0,0,0,0,动画
1,0,1,1,0,1,0,1,0,0,敌意
1,0,0,0,0,1,0,0,0,0,敌意
0,0,0,0,0,0,0,0,0,0,踝
0,0,0,0,0,0,0,0,0,0,志
0,0,0,0,0,0,0,0,0,0,附件
0,0,0,0,0,0,0,0,0,0,兼并
0,0,0,0,0,0,0,0,0,0,附件
1,0,0,1,0,1,0,0,0,0,歼灭
1,0,0,1,0,1,0,1,0,0,歼灭
1,0,0,1,0,1,0,1,0,0,湮灭
0,0,0,0,0,0,0,0,0,0,注释
0,0,0,0,0,0,0,0,0,0,注解
0,0,0,0,0,0,0,0,0,0,宣布
0,1,0,0,0,0,0,0,0,0,公告
1,0,1,0,0,1,0,0,0,0,惹恼
1,0,1,0,0,1,0,0,0,0,烦恼
1,0,0,0,0,1,0,0,0,0,恼人的
0,0,0,0,0,0,0,0,0,0,年金
0,0,0,0,0,1,0,0,0,0,废止
0,0,0,0,0,0,0,0,0,0,环状
0,0,0,0,0,1,0,1,0,0,废除
0,0,0,0,0,0,0,0,0,0,环
0,0,0,0,0,0,0,0,0,0,膏抹
0,0,0,0,0,0,0,0,0,0,异常
0,0,0,1,0,1,0,0,1,0,异常
0,0,0,0,0,0,0,0,0,0,匿名
0,0,0,0,0,1,0,0,0,0,匿名的
0,0,0,0,0,0,0,0,0,0,回答
0,0,0,0,0,0,0,0,0,1,可回答的
0,0,0,0,0,0,0,0,0,0,接听
0,0,0,0,0,0,0,0,0,0,蚂蚁
1,0,0,0,0,1,0,0,0,0,对抗
1,0,0,0,0,1,0,0,0,0,拮抗剂
1,0,1,0,0,1,0,0,0,0,敌对的
0,0,0,0,0,0,0,0,0,0,赌注
0,0,0,0,0,0,0,0,0,0,先行者
0,0,0,0,0,0,0,0,0,0,羚羊
0,0,0,0,0,0,0,0,0,0,天线
0,0,0,0,0,0,0,0,0,0,前
0,0,0,0,0,0,0,0,0,0,国歌
0,0,0,0,0,0,0,0,0,0,选集
0,0,1,1,0,1,0,1,0,0,炭疽病
0,0,0,0,0,0,0,0,0,0,人类学
0,0,0,0,0,0,0,0,0,0,抗生素
0,0,0,0,0,0,1,0,0,0,抗生素
1,0,1,1,0,1,0,0,0,0,敌基督
0,1,0,0,0,0,0,0,0,0,预期
0,1,0,0,0,0,0,0,0,0,预期的
0,1,0,0,0,0,1,0,0,1,解毒剂
0,0,0,0,0,0,1,0,0,1,抗真菌药
0,0,0,0,0,0,0,0,0,0,锑
1,0,1,0,0,1,0,0,0,0,反感
