anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,Spanish Word
0,0,0,0,0,0,0,0,0,0,acceder a
0,1,0,0,0,0,0,0,0,0,acelerar
0,0,0,0,0,0,0,0,0,0,aceleración
0,0,0,0,0,0,0,0,0,0,acento
0,0,0,0,0,0,0,0,0,0,acentuar
0,0,0,0,0,0,0,0,0,0,aceptar
0,0,0,0,0,0,1,0,0,0,aceptable
0,0,0,0,0,0,1,0,0,0,aceptación
0,0,0,0,0,0,0,0,0,0,acceso
0,0,0,0,0,0,1,0,0,0,accesible
0,0,0,0,0,0,0,0,0,0,adhesión
0,0,0,0,0,0,0,0,0,0,accesorio
0,0,0,1,0,1,0,1,1,0,accidente
0,0,0,1,0,1,0,0,1,0,accidental
0,0,0,0,0,0,0,0,1,0,accidentalmente
0,1,0,0,1,0,1,0,1,1,espaldarazo
0,0,0,0,0,0,0,0,0,0,acomodar
0,0,0,0,0,0,1,0,0,0,alojamiento
0,1,0,0,1,0,1,0,0,1,acompañamiento
0,0,0,0,0,0,0,0,0,0,acompañar
0,0,0,0,0,0,0,0,0,0,acompañamiento
0,0,0,0,0,0,0,0,0,0,cómplice
0,0,0,0,1,0,1,0,0,0,realizar
0,0,0,0,1,0,1,0,0,0,logrado
0,0,0,0,0,0,1,0,0,0,logro
0,0,0,0,0,0,1,0,0,1,acuerdo
0,0,0,0,0,0,0,0,0,0,conformidad
0,0,0,0,0,0,0,0,0,0,acordeón
0,0,0,0,0,0,0,0,0,1,cuenta
0,0,0,0,0,0,1,0,0,1,responsabilidad
0,0,0,0,0,0,1,0,0,1,responsable
0,0,0,0,0,0,0,0,0,1,contador
0,0,0,0,0,0,0,0,0,0,contabilidad
0,0,0,0,0,0,0,0,0,1,cuentas
0,0,0,0,0,0,1,0,0,1,autorizado
0,0,0,0,0,0,0,0,0,0,acreción
0,0,0,0,0,0,0,0,0,0,acumularse
0,0,0,0,0,0,1,0,0,0,accueil
0,0,0,0,0,0,0,0,0,0,acumular
0,0,0,0,0,0,0,0,0,0,acumulación
0,0,0,0,0,0,0,0,0,0,precisión
0,0,0,0,0,0,1,0,0,1,preciso
1,0,0,1,0,1,0,1,0,0,maldito
1,0,1,0,0,1,0,0,0,0,acusación
0,0,0,0,0,1,0,0,0,0,acusativo
1,0,0,1,0,1,0,0,0,0,acusado
1,0,0,1,0,1,0,0,0,0,acusador
1,0,0,1,0,1,0,0,0,0,acusando
0,0,0,0,0,0,0,0,0,0,acostumbrado
0,0,0,0,0,0,1,0,0,0,as
0,0,0,0,0,0,0,0,0,0,acético
0,0,0,0,0,1,0,1,0,0,dolor
0,0,0,0,1,0,1,0,0,1,lograr
0,1,0,0,1,0,1,0,0,1,logro
0,0,0,0,0,1,0,1,0,0,dolor
0,0,0,0,0,1,0,0,0,0,ácido
0,0,0,0,0,0,0,0,0,0,acidez
0,0,0,0,0,0,0,0,0,0,reconocer
0,0,0,0,0,0,0,0,0,0,admitido
0,0,0,0,0,0,1,0,0,0,Reconocimiento
0,0,0,0,0,0,0,0,0,0,cumbre
0,0,0,0,0,0,0,0,0,0,acústico
0,0,0,0,0,0,0,0,0,0,acústica
0,0,0,0,0,0,0,0,0,0,familiarizar
0,0,0,0,0,0,0,0,0,0,conocido
0,0,0,0,0,0,0,0,0,0,familiarizado
0,0,0,0,0,0,0,0,0,0,aquiescencia
0,0,0,0,0,0,1,0,0,0,adquirir
0,1,0,0,0,0,1,0,0,0,adquisidor
0,0,0,0,0,0,0,0,0,0,adquisición
0,0,0,0,0,0,0,0,0,0,adquisiciones
0,0,0,0,0,0,0,0,0,0,superficie en acres
0,0,0,0,0,0,0,0,0,0,hectáreas
0,0,0,1,1,0,1,0,0,1,acróbata
0,0,0,0,0,0,0,0,0,0,Actuar
0,0,0,0,0,0,0,0,0,0,interino
0,0,0,0,0,0,1,0,0,0,acción
1,0,1,0,0,1,0,0,0,0,procesable
0,0,0,0,0,0,0,0,0,0,activo
0,0,0,0,0,0,0,0,0,0,actividad
0,0,0,0,0,0,0,0,0,0,actor
0,0,0,0,0,0,1,0,0,0,actual
0,0,0,0,0,0,0,0,0,0,realidad
0,0,0,0,0,0,0,0,0,0,actuario
0,0,0,0,0,0,1,0,0,0,agudeza
0,0,0,0,0,0,1,0,0,0,perspicacia
0,0,0,0,0,0,0,0,0,0,acupuntura
0,0,0,0,0,0,0,0,0,0,extremadamente
0,0,0,0,0,0,0,0,0,0,adagio
0,0,0,0,0,0,0,0,0,0,firme
0,0,0,0,0,0,1,0,0,0,adaptar
0,0,0,0,0,0,1,0,0,0,adaptable
0,0,0,0,0,0,0,0,0,0,agregar
0,0,0,0,0,0,0,0,0,0,adicional
0,0,0,0,0,0,0,0,0,0,apéndice
1,0,1,1,0,1,0,1,0,0,sumador
0,0,0,0,0,1,0,0,0,0,adiccion
0,0,0,0,0,0,0,0,0,0,suma
0,0,0,0,0,0,0,0,0,0,adicional
0,0,0,0,0,0,0,0,0,0,aditivo
0,0,0,0,0,0,0,0,0,0,Dirección
0,0,0,0,0,0,0,0,0,0,destinatario
0,1,0,0,0,0,1,0,0,0,direcciones
0,0,0,0,0,0,1,0,0,0,adepto
0,0,0,0,0,0,1,0,0,0,adecuación
0,0,0,0,0,0,0,0,0,0,adecuado
0,0,0,0,0,0,0,0,0,0,adherirse
0,0,0,0,0,0,0,0,0,0,adherencia
0,0,0,0,0,0,0,0,0,0,adherente
0,0,0,0,0,0,0,0,0,1,adherido
0,0,0,0,0,0,0,0,0,0,adhesión
0,0,0,0,0,0,0,0,0,0,adhesivo
0,0,0,0,0,0,0,0,0,0,adiós
0,0,0,0,0,1,0,0,0,0,adiposo
0,0,0,0,0,0,0,0,0,0,proximidad
0,0,0,0,0,0,0,0,0,0,adyacente
0,0,0,0,0,0,0,0,0,0,adjetivo
0,0,0,0,0,0,0,0,0,0,contiguo
0,0,0,0,0,0,0,0,0,0,aplazar
0,0,0,0,0,0,0,0,0,0,aplazamiento
0,0,0,1,0,1,0,0,0,0,juzgar
0,0,0,0,0,0,0,0,0,0,adjudicación
0,0,0,0,0,0,1,0,0,0,adjunto
0,0,0,0,0,0,0,0,0,0,ajustar
0,0,0,0,0,0,0,0,0,0,ajustamiento
0,0,0,0,0,0,0,0,0,0,auxiliar
0,0,0,0,0,0,0,0,0,0,administrar
0,0,0,0,0,0,0,0,0,0,administración
0,0,0,0,0,0,0,0,0,1,administrativo
0,0,0,0,1,0,1,0,0,1,admirable
0,0,0,0,0,0,1,0,0,1,almirante
0,0,0,0,0,0,0,0,0,0,almirantazgo
0,0,0,0,1,0,1,0,0,1,admiración
0,0,0,0,0,0,1,0,0,1,admirar
0,0,0,0,0,0,1,0,0,0,admirador
0,0,0,0,0,0,0,0,0,0,admisibilidad
0,0,0,0,0,0,1,0,0,1,admisible
0,0,0,0,0,0,0,0,0,0,admisión
0,0,0,0,0,0,0,0,0,0,admitir
0,0,0,0,0,0,0,0,0,0,entrada
0,0,0,0,0,0,0,0,0,0,aceptado
0,0,0,0,0,0,0,0,0,0,admitiendo
0,0,0,0,0,0,0,0,0,0,mezcla
0,0,0,1,0,1,0,0,0,0,amonestación
0,0,0,0,0,0,0,0,0,0,alharaca
0,0,0,0,0,0,0,0,0,0,adobe
0,0,0,0,0,0,0,0,0,0,adolescencia
0,0,0,0,0,0,0,0,0,0,adolescente
0,0,0,0,0,0,0,0,0,0,adoptar
0,0,0,0,0,0,0,0,0,0,adopción
0,0,0,0,1,0,1,0,0,0,adorable
0,0,0,0,1,0,1,0,0,1,adoración
0,1,0,0,1,0,1,0,0,1,adorar
0,0,0,0,0,0,0,0,0,0,adornar
0,0,0,0,0,0,0,0,0,0,adorno
0,1,0,1,0,1,0,1,0,0,a la deriva
0,0,0,0,0,0,0,0,0,0,adulto
0,0,0,0,0,1,0,0,0,0,espurio
0,0,1,0,0,1,0,1,0,0,adulterio
0,1,0,1,1,0,1,0,1,0,ventaja
0,0,0,0,0,0,1,0,0,0,avanzado
0,0,0,0,0,0,1,0,0,0,avance
0,0,0,0,0,0,0,0,0,0,avanzando
0,0,0,0,0,0,1,0,0,0,ventaja
0,0,0,0,0,0,1,0,0,0,ventajoso
0,1,0,0,1,0,1,0,0,1,adviento
0,1,0,0,0,0,1,0,0,0,aventura
0,0,0,0,0,0,0,0,0,0,aventurero
0,0,0,0,0,0,1,0,0,0,aventurero
1,0,0,0,0,1,0,0,0,0,adversario
1,0,1,1,0,1,0,1,0,0,adverso
1,0,0,1,0,1,0,1,0,0,adversidad
0,0,0,0,0,0,0,0,0,0,anunciar
0,0,0,0,0,0,0,0,0,0,anuncio publicitario
0,0,0,0,0,0,0,0,0,1,consejo
0,0,0,0,0,0,1,0,0,1,aconsejable
0,0,0,0,0,0,1,0,0,1,consejo
0,0,0,0,0,0,0,0,0,1,aconsejado
0,0,0,0,0,0,0,0,0,0,asesoramiento
0,0,0,0,0,0,1,0,0,1,asesor
1,1,0,0,1,0,1,0,0,1,Abogacía
0,0,0,0,0,0,0,0,0,1,defensor
0,0,0,0,0,0,0,0,0,0,égida
0,0,0,0,0,0,0,0,0,0,aireación
0,0,0,0,0,0,0,0,0,0,aéreo
0,0,0,0,0,0,0,0,0,0,aeródromo
0,0,0,0,0,0,0,0,0,0,aerodinámica
0,0,0,0,0,0,0,0,0,0,aeronáutica
0,0,0,0,0,0,0,0,0,0,avión
0,0,0,0,0,0,1,0,0,0,estético
0,0,0,0,1,0,1,0,0,0,estética
0,0,0,0,0,0,0,0,0,0,etiología
0,0,0,0,0,0,0,0,0,0,lejos
0,0,0,0,0,0,1,0,0,0,afable
0,0,0,0,0,0,0,0,0,0,asunto
0,0,0,0,0,0,0,0,0,0,conmovedor
0,0,0,0,1,0,1,0,0,1,cariño
0,0,0,0,0,0,0,0,0,0,afectos
0,0,0,0,0,0,0,0,0,0,afiche
0,0,0,0,0,0,0,0,0,0,declaración jurada
0,0,0,0,0,0,1,0,0,0,asociado
0,0,0,0,0,0,0,0,0,0,afiliación
0,0,0,0,0,0,0,0,0,0,afinidad
0,0,0,0,0,0,1,0,0,1,afirmar
0,0,0,0,0,0,1,0,0,0,afirmación
0,0,0,0,0,0,1,0,0,0,afirmativo
0,0,0,0,0,0,1,0,0,1,afirmativamente
0,0,0,0,0,0,0,0,0,0,afijo
0,0,0,1,0,1,0,1,0,0,afligir
0,0,0,0,0,1,0,0,0,0,afligido
0,0,1,1,0,1,0,1,0,0,aflicción
0,0,0,0,1,0,1,0,0,0,afluencia
0,0,0,0,0,0,1,0,0,0,afluente
0,0,0,0,0,0,1,0,0,0,solventar
1,0,1,1,0,1,0,1,1,0,afrenta
0,0,0,0,0,0,0,0,0,0,al campo
0,0,0,0,0,0,0,0,0,0,a proa
0,0,0,0,0,0,0,0,0,0,citado
0,0,0,0,0,0,0,0,0,0,antedicho
0,0,0,1,0,1,0,0,0,0,atemorizado
0,0,0,0,0,0,0,0,0,0,de nuevo
0,0,0,0,0,0,0,0,0,0,en popa
1,0,1,1,0,1,0,1,0,0,secuelas
0,0,0,0,0,0,0,0,0,0,tarde
0,0,0,0,0,1,0,0,0,0,regusto
0,0,0,0,0,0,0,0,0,0,idea tardía
0,0,0,1,0,0,1,0,0,1,aga
0,0,0,0,0,0,0,0,0,0,ágata
0,0,0,0,0,0,0,0,0,0,años
0,0,0,0,0,0,0,0,0,0,Envejecido
0,0,0,0,0,0,0,0,0,0,agencia
0,0,0,0,0,0,0,0,0,0,agente
0,0,0,0,0,0,0,0,0,0,aglomeración
1,0,0,0,0,1,0,0,0,0,agravado
1,0,0,0,0,1,0,1,0,0,agravante
1,0,1,0,0,1,0,0,0,0,agravación
0,0,0,0,0,0,0,0,0,0,agregar
0,0,0,0,0,0,0,0,0,0,agregación
1,0,0,1,0,1,0,0,0,0,agresión
1,0,0,1,0,1,0,0,0,0,agresivo
1,0,0,1,0,1,0,0,0,0,agresor
0,0,1,1,0,1,0,0,1,0,espantado
0,0,0,0,0,0,1,0,0,0,ágil
0,0,0,0,0,0,1,0,0,0,agilidad
1,0,0,0,0,1,0,0,0,0,agitado
1,0,0,0,0,1,0,0,0,0,agitación
0,0,0,0,0,0,0,0,0,0,agnóstico
0,0,0,0,0,0,0,0,0,0,atrás
0,0,0,1,0,1,0,0,0,0,agonizante
1,0,0,1,0,1,0,1,0,0,agonía
0,0,0,0,0,0,1,0,0,0,aceptar
0,0,0,0,0,0,1,0,0,1,agradable
0,0,0,0,0,0,1,0,0,1,acordado
0,0,0,0,0,0,1,0,0,1,estar de acuerdo
0,0,0,0,0,0,1,0,0,1,convenio
0,0,0,0,0,0,0,0,0,0,agrícola
0,0,0,0,0,0,1,0,0,0,agricultura
0,0,0,0,0,1,0,0,0,0,encallado
0,0,0,0,0,0,0,0,0,0,agua
0,0,0,0,0,0,1,0,0,0,adelante
0,0,0,0,0,0,1,0,0,0,ayuda
0,0,0,0,0,0,1,0,0,0,ayudando
0,0,0,0,0,1,0,1,0,0,afligir
0,0,0,1,0,1,0,1,0,0,enfermo
0,0,0,0,0,0,0,0,0,0,enfermedad
0,0,0,0,0,0,0,0,0,0,apuntar
0,0,0,0,0,1,0,0,0,0,sin objetivo
0,0,0,0,0,0,0,0,0,0,aire
0,0,0,0,0,0,0,0,0,0,bolsa de aire
0,0,0,0,0,0,0,0,0,0,puente aéreo
0,0,0,0,0,0,0,0,0,0,aerolínea
0,0,0,0,0,0,0,0,0,0,aviador
0,0,0,0,0,0,0,0,0,0,avión
0,1,0,0,0,0,0,0,0,0,aeropuerto
0,0,1,0,0,1,0,0,0,0,aires
0,0,0,0,0,0,0,0,0,0,dirigible
0,0,0,0,0,0,0,0,0,0,pasillo
0,0,0,0,0,0,0,0,0,0,espera
0,0,0,0,0,0,0,0,0,0,un frasco
0,0,0,0,0,0,0,0,0,1,parecido
0,0,0,0,0,0,1,0,0,0,alabastro
0,0,0,1,0,1,0,0,1,0,alarma
0,0,0,1,0,1,0,0,1,0,alarmante
0,0,0,0,0,0,0,0,0,1,alba
0,0,0,0,0,0,0,0,0,0,álbum
0,0,0,0,0,0,0,0,0,0,alquimia
0,0,0,0,0,0,0,0,0,0,alcohol
1,0,1,1,0,1,0,1,0,0,alcoholismo
0,0,0,0,0,0,0,0,0,0,hueco
0,0,0,0,0,0,0,0,0,0,alerta
0,1,0,1,0,0,1,0,1,0,vigilancia
0,1,0,1,0,0,0,0,1,0,alertas
0,0,0,0,0,0,0,0,0,0,alfalfa
0,0,0,0,0,0,0,0,0,0,álgebra
0,0,0,0,0,0,0,0,0,0,algebraico
0,0,0,0,0,0,0,0,0,0,algoritmo
0,0,0,0,0,0,0,0,0,0,coartada
0,0,1,1,0,1,0,0,0,0,extraterrestre
1,0,1,0,0,1,0,0,0,0,enajenar
0,0,0,0,0,1,0,1,0,0,alienado
1,0,1,1,0,1,0,1,0,0,alienación
0,0,0,0,0,0,0,0,0,0,posarse
0,0,0,0,0,0,0,0,0,0,alineado
0,0,0,0,0,0,0,0,0,0,alineación
0,0,0,0,0,0,0,0,0,0,similar
0,0,0,0,0,0,1,0,0,0,alimentación
0,0,0,0,0,1,0,0,0,0,pensión alimenticia
0,0,0,0,0,0,0,0,0,0,alícuota
0,1,0,0,1,0,1,0,0,1,viva
0,0,0,0,0,0,0,0,0,0,álcali
0,0,0,0,0,0,0,0,0,0,alcaloides
0,0,0,0,0,0,1,0,0,0,aliviar
1,0,0,0,0,1,0,0,0,0,alegación
0,0,0,0,0,1,0,0,0,0,alegar
0,0,0,0,0,0,0,0,0,0,presunto
0,0,0,0,0,0,1,0,0,1,lealtad
0,0,0,0,0,0,0,0,0,0,alegórico
0,0,0,0,0,0,0,0,0,0,alegoría
0,0,0,0,0,0,1,0,0,0,alegro
0,0,0,0,0,0,1,0,0,0,aliviar
0,0,0,0,0,0,1,0,0,0,alivio
0,0,0,0,0,0,0,0,0,0,callejón
0,0,0,0,0,0,0,0,0,1,Alianza
0,0,0,0,0,0,1,0,0,1,aliado
0,0,0,0,0,0,0,0,0,0,caimán
0,0,0,0,0,0,0,0,0,0,asignar
0,0,0,0,0,0,0,0,0,0,asignación
0,0,0,0,0,0,0,0,0,0,asignar
0,0,0,0,0,0,0,0,0,0,asignación
0,0,0,0,0,0,1,0,0,0,admisible
0,0,0,0,0,0,0,0,0,0,tolerancia
0,0,0,0,0,0,0,0,0,0,permitió
0,0,0,0,0,0,0,0,0,0,aleación
0,1,0,0,1,0,1,0,1,0,seducir
0,0,0,0,0,0,1,0,0,0,seductor
0,0,0,0,0,0,0,0,0,0,alusión
0,0,0,0,0,0,0,0,0,0,aluvial
0,0,0,0,0,0,1,0,0,1,aliado
0,0,0,0,0,0,0,0,0,0,almanaque
0,0,0,0,0,0,1,0,0,0,todopoderoso
0,0,0,0,0,0,0,0,0,0,en alto
0,1,0,0,1,0,1,0,0,0,aloha
0,0,0,0,0,0,0,0,0,0,junto a
0,0,0,0,0,1,0,0,0,0,a distancia
0,0,0,0,0,0,0,0,0,0,en voz alta
0,0,0,0,0,0,0,0,0,0,alfabeto
0,0,0,0,0,0,0,0,0,0,alfabético
0,0,0,0,0,0,0,0,0,0,altar
0,0,0,0,0,0,0,0,0,0,alterar
0,0,0,0,0,0,0,0,0,0,modificación
1,0,0,0,0,1,0,0,0,0,altercado
0,0,0,0,0,0,0,0,0,0,alterado
0,0,0,0,0,0,0,0,0,0,alterno
0,0,0,0,0,0,0,0,0,0,alternativa
0,0,0,0,0,0,0,0,0,0,altitud
0,0,0,0,0,0,0,0,0,0,Alto
0,0,0,0,0,0,0,0,0,0,en total
0,0,0,0,0,0,0,0,0,0,antiguo alumno
0,0,0,0,0,0,0,0,0,0,alveolar
0,0,0,0,0,0,0,0,0,0,amalgama
0,0,0,0,0,0,0,0,0,0,amalgamación
0,0,0,0,0,0,0,0,0,0,acumular
0,0,0,0,0,0,0,0,0,0,aficionado
0,0,0,0,0,0,0,0,1,0,asombro
0,0,0,0,0,0,0,0,0,0,asombro
0,0,0,0,1,0,1,0,1,0,Asombrosamente
0,0,0,0,0,0,1,0,0,1,embajador
0,0,0,0,0,0,0,0,0,0,ámbar
0,0,0,0,0,0,0,0,0,0,ambiente
0,0,0,0,0,0,0,0,0,0,ambigüedad
0,0,0,0,0,1,0,0,0,0,ambiguo
0,0,0,0,0,0,0,0,0,0,ámbito
0,1,0,0,1,0,1,0,0,1,ambición
0,0,0,0,0,0,0,0,0,0,ambicioso
0,0,0,1,0,0,0,0,0,1,ambulancia
1,0,0,1,0,1,0,0,1,0,emboscada
0,0,0,0,0,0,1,0,0,0,mejorar
0,0,0,0,1,0,1,0,0,1,amén
0,0,0,0,0,0,1,0,0,0,dócil
0,0,0,0,0,0,1,0,0,0,enmendar
0,0,0,0,0,0,0,0,0,0,enmienda
0,0,0,0,0,0,1,0,0,0,compensación
0,0,0,0,0,0,1,0,0,0,amenidad
0,0,0,0,0,0,0,0,0,0,amatista
0,0,0,0,0,0,1,0,0,0,amable
0,0,0,0,1,0,1,0,0,0,amistoso
0,0,0,0,0,0,0,0,0,0,entre
0,0,0,0,0,0,0,0,0,0,en medio de
0,0,1,0,0,0,0,0,0,0,amoníaco
0,0,0,0,0,0,0,0,0,0,munición
0,0,0,0,0,1,0,0,0,0,amnesia
0,0,0,0,1,0,1,0,0,0,amnistía
0,0,0,0,0,0,0,0,0,0,amorfo
0,0,0,0,0,0,0,0,0,1,amortización
0,0,0,0,0,0,0,0,0,0,Monto
0,1,0,0,1,0,1,0,0,1,aventura amorosa
0,0,0,0,0,0,0,0,0,0,ampersand
0,0,1,0,0,1,0,0,0,0,anfetaminas
0,0,0,0,0,0,0,0,0,0,anfibio
0,0,0,0,0,0,0,0,0,0,anfibio
0,0,0,0,0,0,0,0,0,0,anfiteatro
0,0,0,0,0,0,0,0,0,0,amplificación
0,0,0,0,0,0,0,0,0,0,amplificar
0,0,0,0,0,0,0,0,0,0,amplitud
0,0,0,0,0,0,0,0,0,0,ampliamente
0,0,0,0,0,0,0,0,0,0,amputación
0,0,0,0,0,0,0,0,0,0,amuleto
0,0,0,0,1,0,1,0,0,0,entretener
0,0,0,0,1,0,1,0,0,0,divertido
0,0,0,0,1,0,1,0,0,0,diversión
0,0,0,0,1,0,1,0,0,0,entretenido
0,0,0,0,0,0,0,0,0,0,Ana
0,0,1,1,0,1,0,0,0,0,anaconda
0,0,0,0,0,0,0,0,0,0,anestesia
0,0,0,0,0,0,0,0,0,0,anestésico
0,0,0,0,0,1,0,0,0,0,anal
0,0,0,0,0,0,0,0,0,0,analgésico
0,0,0,0,0,0,0,0,0,0,análogo
0,0,0,0,0,0,0,0,0,0,término análogo
0,0,0,0,0,0,0,0,0,0,analogía
0,0,0,0,0,0,0,0,0,0,análisis
0,1,0,0,0,0,1,0,0,1,analista
0,0,0,0,0,0,0,0,0,0,analítico
0,0,0,0,0,0,0,0,0,0,analizar
0,0,0,0,0,0,0,0,0,0,analizador
1,0,0,1,0,1,0,0,0,0,anarquismo
1,0,0,1,0,1,0,0,0,0,anarquista
1,0,0,1,0,1,0,0,0,0,anarquía
0,0,0,0,0,0,0,0,0,0,anastomosis
1,0,1,1,0,1,0,1,0,0,anatema
0,0,0,0,0,0,0,0,0,0,anatómico
0,0,0,0,0,0,0,0,0,0,anatomía
0,0,0,0,0,0,0,0,0,0,antepasado
0,0,0,0,0,0,0,0,0,1,ancestral
0,0,0,0,0,0,0,0,0,0,ascendencia
0,0,0,0,0,0,1,0,0,0,ancla
0,0,0,0,0,0,1,1,0,0,anclaje
0,0,0,0,0,1,0,0,0,0,antiguo
0,0,0,0,0,0,0,0,0,0,auxiliar
0,0,0,0,0,0,0,0,0,0,andrógino
0,0,0,0,0,0,0,0,0,0,anémona
0,0,0,0,0,0,0,0,0,0,de nuevo
0,1,0,0,1,0,1,0,1,1,ángel
0,0,0,0,1,0,1,0,0,1,angelical
1,0,0,0,0,1,0,0,0,0,enfado
0,0,0,1,0,1,0,0,0,0,angina de pecho
0,0,0,0,0,0,0,0,0,0,angiografía
0,0,0,0,0,0,0,0,0,0,ángulo
0,1,0,0,0,1,0,0,0,0,pesca con caña
1,0,1,0,0,1,0,0,0,0,enfadado
1,0,0,1,0,1,0,1,0,0,angustia
0,0,0,0,0,0,0,0,0,0,angular
0,0,0,0,0,0,0,0,0,0,anhidro
0,0,0,0,0,0,0,0,0,0,animal
0,0,0,0,0,0,1,0,0,0,animar
0,0,0,0,1,0,1,0,0,0,animado
0,0,0,0,0,0,0,0,0,0,animación
1,0,1,1,0,1,0,1,0,0,animosidad
1,0,0,0,0,1,0,0,0,0,ánimo
0,0,0,0,0,0,0,0,0,0,tobillo
0,0,0,0,0,0,0,0,0,0,anales
0,0,0,0,0,0,0,0,0,0,anexo
0,0,0,0,0,0,0,0,0,0,anexión
0,0,0,0,0,0,0,0,0,0,anexo
1,0,0,1,0,1,0,0,0,0,aniquilar
1,0,0,1,0,1,0,1,0,0,aniquilado
1,0,0,1,0,1,0,1,0,0,aniquilación
0,0,0,0,0,0,0,0,0,0,anotar
0,0,0,0,0,0,0,0,0,0,anotación
0,0,0,0,0,0,0,0,0,0,anunciar
0,1,0,0,0,0,0,0,0,0,anuncio
1,0,1,0,0,1,0,0,0,0,enojarse
1,0,1,0,0,1,0,0,0,0,molestia
1,0,0,0,0,1,0,0,0,0,irritante
0,0,0,0,0,0,0,0,0,0,anualidad
0,0,0,0,0,1,0,0,0,0,anular
0,0,0,0,0,0,0,0,0,0,anular
0,0,0,0,0,1,0,1,0,0,anulación
0,0,0,0,0,0,0,0,0,0,anillo
0,0,0,0,0,0,0,0,0,0,unción
0,0,0,0,0,0,0,0,0,0,anómalo
0,0,0,1,0,1,0,0,1,0,anomalía
0,0,0,0,0,0,0,0,0,0,luego
0,0,0,0,0,1,0,0,0,0,anónimo
0,0,0,0,0,0,0,0,0,0,responder
0,0,0,0,0,0,0,0,0,1,responsable
0,0,0,0,0,0,0,0,0,0,respondiendo
0,0,0,0,0,0,0,0,0,0,hormiga
1,0,0,0,0,1,0,0,0,0,antagonismo
1,0,0,0,0,1,0,0,0,0,antagonista
1,0,1,0,0,1,0,0,0,0,antagonista
0,0,0,0,0,0,0,0,0,0,apuesta inicial
0,0,0,0,0,0,0,0,0,0,antecedente
