Turkish Word,Emotion,Condition
başarı,anger,0
anlaşma,anger,0
uyum,anger,0
akordeon,anger,0
hesap,anger,0
Hesap verebilirlik,anger,0
sorumlu,anger,0
Muhasebeci,anger,0
muhasebe,anger,0
hesaplar,anger,0
akredite,anger,0
yığılma,anger,0
tahakkuk etmek,anger,0
acele etmek,anger,0
biriktirmek,anger,0
birikim,anger,0
kesinlik,anger,0
kesin,anger,0
lanetli,anger,1
suçlama,anger,1
suçlayıcı,anger,0
sanık,anger,1
suçlayıcı,anger,1
suçlamak,anger,1
alışmış,anger,0
as,anger,0
asetik,anger,0
ağrı,anger,0
başarmak,anger,0
başarı,anger,0
ağrıyan,anger,0
asit,anger,0
asitlik,anger,0
kabullenmek,anger,0
kabul edildi,anger,0
teşekkür,anger,0
acme,anger,0
akustik,anger,0
akustik,anger,0
tanışmak,anger,0
tanıdık,anger,0
haberdar olma,anger,0
rıza,anger,0
elde etmek,anger,0
edinme,anger,0
kazanma,anger,0
satın almalar,anger,0
dönüm,anger,0
dönüm,anger,0
akrobat,anger,0
davranmak,anger,0
oyunculuk,anger,0
eylem,anger,0
harekete geçirilebilir,anger,1
aktif,anger,0
aktivite,anger,0
aktör,anger,0
gerçek,anger,0
gerçeklik,anger,0
aktüer,anger,0
keskinlik,anger,0
zeka,anger,0
akupunktur,anger,0
akut olarak,anger,0
atasözü,anger,0
kararlı,anger,0
adapte olmak,anger,0
uyarlanabilir,anger,0
Ekle,anger,0
katma,anger,0
zeyilname,anger,0
toplayıcı,anger,1
bağımlılık,anger,0
ilave,anger,0
ek olarak,anger,0
katkı,anger,0
adres,anger,0
muhatap,anger,0
adresler,anger,0
usta,anger,0
yeterlilik,anger,0
yeterli,anger,0
bağlı kalmak,anger,0
bağlılık,anger,0
bağlı,anger,0
bağlı kalmak,anger,0
yapışma,anger,0
yapıştırıcı,anger,0
elveda,anger,0
yağ,anger,0
komşuluk,anger,0
bitişik,anger,0
sıfat,anger,0
bitişik,anger,0
ertelemek,anger,0
erteleme,anger,0
hüküm vermek,anger,0
hüküm,anger,0
ek,anger,0
ayarlamak,anger,0
ayar,anger,0
adjuvan,anger,0
yönetmek,anger,0
yönetim,anger,0
Yönetim,anger,0
takdire şayan,anger,0
amiral,anger,0
amirallik,anger,0
hayranlık,anger,0
beğenmek,anger,0
hayran,anger,0
kabul edilebilirlik,anger,0
kabul edilebilir,anger,0
kabul,anger,0
Kabul et,anger,0
kabul,anger,0
kabul edilmiş,anger,0
kabul etmek,anger,0
katkı,anger,0
öğüt,anger,0
ado,anger,0
Adobe,anger,0
Gençlik,anger,0
ergen,anger,0
evlat edinmek,anger,0
Benimseme,anger,0
sevimli,anger,0
hayranlık,anger,0
hayranlık duymak,anger,0
süslemek,anger,0
süsleme,anger,0
sürüklenmek,anger,0
yetişkin,anger,0
tahrif edilmiş,anger,0
zina,anger,0
ilerlemek,anger,0
ileri,anger,0
ilerleme,anger,0
ilerleyen,anger,0
avantaj,anger,0
avantajlı,anger,0
gelişi,anger,0
macera,anger,0
maceracı,anger,0
maceracı,anger,0
düşman,anger,1
olumsuz,anger,1
sıkıntı,anger,1
reklam yapmak,anger,0
reklamcılık,anger,0
tavsiye,anger,0
uygun,anger,0
öğüt vermek,anger,0
tavsiye,anger,0
tavsiye,anger,0
danışman,anger,0
savunuculuk,anger,1
savunucu,anger,0
kalkan,anger,0
havalandırma,anger,0
havadan,anger,0
havaalanı,anger,0
aerodinamik,anger,0
havacılık,anger,0
uçak,anger,0
estetik,anger,0
estetik,anger,0
etiyoloji,anger,0
uzaktan,anger,0
nazik,anger,0
mesele,anger,0
etkileyen,anger,0
alaka,anger,0
sevgiler,anger,0
Afiş,anger,0
beyanname,anger,0
bağlı,anger,0
üyelik,anger,0
yakınlık,anger,0
onaylamak,anger,0
onaylama,anger,0
olumlu,anger,0
olumlu olarak,anger,0
takmak,anger,0
ıstırap çekmek,anger,0
tutulmuş,anger,0
ızdırap,anger,0
zenginlik,anger,0
zengin,anger,0
parası yetmek,anger,0
hakaret,anger,1
uzakta,anger,0
önce,anger,0
bahsi geçen,anger,0
yukarıda bahsedilen,anger,0
korkmuş,anger,0
yeniden,anger,0
kıç,anger,0
sonrası,anger,1
öğleden sonra,anger,0
ağızda kalan tat,anger,0
sonradan düşünülmüş,anger,0
ağa,anger,0
akik,anger,0
yaş,anger,0
yaşlı,anger,0
Ajans,anger,0
ajan,anger,0
yığılma,anger,0
ağırlaştırılmış,anger,1
ağırlaştırıcı,anger,1
ağırlaştırma,anger,1
agrega,anger,0
toplama,anger,0
saldırganlık,anger,1
agresif,anger,1
saldırgan,anger,1
dehşete düşmek,anger,0
atik,anger,0
çeviklik,anger,0
tedirgin,anger,1
çalkalama,anger,1
agnostik,anger,0
evvel,anger,0
acı verici,anger,0
ızdırap,anger,1
Katılıyorum,anger,0
hoş,anger,0
kabul,anger,0
anlaşmak,anger,0
anlaşma,anger,0
tarımsal,anger,0
tarım,anger,0
karaya oturmak,anger,0
agua,anger,0
ilerde,anger,0
yardım,anger,0
yardım,anger,0
her şey,anger,0
hasta,anger,0
rahatsızlık,anger,0
amaç,anger,0
amaçsız,anger,0
hava,anger,0
hava yastığı,anger,0
hava ikmali,anger,0
havayolu,anger,0
havacı,anger,0
uçak,anger,0
havalimanı,anger,0
fiyaka,anger,0
zeplin,anger,0
koridor,anger,0
ait,anger,0
aralık,anger,0
benzer,anger,0
kaymaktaşı,anger,0
alarm,anger,0
endişe verici,anger,0
alb,anger,0
albüm,anger,0
simya,anger,0
alkol,anger,0
alkolizm,anger,1
oyuk,anger,0
Alarm,anger,0
uyanıklık,anger,0
uyarılar,anger,0
yonca,anger,0
cebir,anger,0
cebirsel,anger,0
algoritma,anger,0
mazeret,anger,0
yabancı,anger,0
yabancılaştırmak,anger,1
yabancılaşmış,anger,0
yabancılaşma,anger,1
inmek,anger,0
hizalı,anger,0
hizalama,anger,0
benzer,anger,0
beslenme,anger,0
nafaka,anger,0
alikot,anger,0
canlı,anger,0
alkali,anger,0
alkoloidler,anger,0
yatıştırmak,anger,0
iddia,anger,1
iddia etmek,anger,0
iddia edilen,anger,0
bağlılık,anger,0
alegorik,anger,0
alegori,anger,0
allegro,anger,0
hafifletmek,anger,0
hafifletme,anger,0
sokak,anger,0
ittifak,anger,0
müttefik,anger,0
timsah,anger,0
tahsis etmek,anger,0
tahsis,anger,0
tahsis etmek,anger,0
tahsis,anger,0
izin verilebilir,anger,0
ödenek,anger,0
izin verilmiş,anger,0
alaşım,anger,0
cazibe,anger,0
çekici,anger,0
ima,anger,0
alüvyon,anger,0
müttefik,anger,0
almanak,anger,0
her şeye kadir,anger,0
havada,anger,0
aloha,anger,0
yanında,anger,0
uzak,anger,0
yüksek sesle,anger,0
alfabe,anger,0
alfabetik,anger,0
altar,anger,0
değiştirmek,anger,0
değişiklik,anger,0
tartışma,anger,1
değiştirilmiş,anger,0
alternatif,anger,0
alternatif,anger,0
yükseklik,anger,0
alto,anger,0
tamamen,anger,0
mezun,anger,0
alveolar,anger,0
amalgam,anger,0
birleşme,anger,0
yığmak,anger,0
amatör,anger,0
şaşırtmak,anger,0
şaşkınlık,anger,0
inanılmaz,anger,0
büyükelçi,anger,0
kehribar,anger,0
ortam,anger,0
belirsizlik,anger,0
belirsiz,anger,0
ambiyans,anger,0
hırs,anger,0
hırslı,anger,0
ambulans,anger,0
pusu,anger,1
düzeltmek,anger,0
amin,anger,0
uygun,anger,0
değiştirmek,anger,0
değişiklik,anger,0
düzeltir,anger,0
kolaylık,anger,0
ametist,anger,0
sevimli,anger,0
dostane,anger,0
ortasında,anger,0
ortasında,anger,0
amonyak,anger,0
mühimmat,anger,0
amnezi,anger,0
af,anger,0
amorf,anger,0
amortisman,anger,0
tutar,anger,0
aşk,anger,0
ve işareti,anger,0
amfetaminler,anger,0
amfibi,anger,0
amfibi,anger,0
amfitiyatro,anger,0
amplifikasyon,anger,0
büyütmek,anger,0
genlik,anger,0
fazlasıyla,anger,0
ampütasyon,anger,0
muska,anger,0
eğlendirmek,anger,0
eğlenmek,anger,0
eğlence,anger,0
eğlenceli,anger,0
ana,anger,0
anakonda,anger,0
anestezi,anger,0
anestezik,anger,0
anal,anger,0
analjezik,anger,0
benzer,anger,0
analog,anger,0
analoji,anger,0
analiz,anger,0
analist,anger,0
analitik,anger,0
analiz etmek,anger,0
analizör,anger,0
anarşizm,anger,1
anarşist,anger,1
anarşi,anger,1
anastomoz,anger,0
aforoz,anger,1
anatomik,anger,0
anatomi,anger,0
Ata,anger,0
atalardan kalma,anger,0
soy,anger,0
Çapa,anger,0
demirleme,anger,0
Antik,anger,0
yardımcı,anger,0
androjen,anger,0
anemon,anger,0
yeniden,anger,0
melek,anger,0
meleksi,anger,0
kızgınlık,anger,1
"anjina, göğüs ağrısı",anger,0
anjiyografi,anger,0
açı,anger,0
olta balıkçılığı,anger,0
sinirli,anger,1
ıstırap,anger,1
açısal,anger,0
susuz,anger,0
hayvan,anger,0
canlandırmak,anger,0
animasyonlu,anger,0
animasyon,anger,0
düşmanlık,anger,1
animus,anger,1
bilek,anger,0
yıllıklar,anger,0
ek,anger,0
ilhak,anger,0
ek,anger,0
yok etmek,anger,1
yok edilmiş,anger,1
yok etme,anger,1
açıklama eklemek,anger,0
dipnot,anger,0
duyurmak,anger,0
duyuru,anger,0
sinir etmek,anger,1
sıkıntı,anger,1
sinir bozucu,anger,1
yıllık gelir,anger,0
iptal,anger,0
halka şeklinde,anger,0
iptal,anger,0
halka,anger,0
mesh,anger,0
anormal,anger,0
anomali,anger,0
anon,anger,0
anonim,anger,0
Cevap,anger,0
cevaplanabilir,anger,0
cevaplama,anger,0
karınca,anger,0
zıtlık,anger,1
rakip,anger,1
antagonistik,anger,1
ön,anger,0
öncül,anger,0
antilop,anger,0
anten,anger,0
ön,anger,0
marş,anger,0
antoloji,anger,0
şarbon,anger,0
antropoloji,anger,0
antibiyotik,anger,0
antibiyotikler,anger,0
Deccal,anger,1
Beklenti,anger,0
ileriye dönük,anger,0
panzehir,anger,0
mantar önleyici,anger,0
antimon,anger,0
antipati,anger,1
antikacı,anger,0
antika,anger,0
Antik,anger,0
antik çağ,anger,0
antiseptik,anger,0
antisosyal,anger,1
antitez,anger,1
zıt,anger,0
antiviral,anger,0
boynuz,anger,0
örs,anger,0
endişe,anger,1
endişeli,anger,0
aort,anger,0
hızla,anger,0
apache,anger,0
apartman,anger,0
kayıtsız,anger,0
ilgisizlik,anger,0
maymun,anger,0
diyafram,anger,0
tepe,anger,0
yaprak biti,anger,0
bir parça,anger,0
kendinden emin,anger,0
kıyamet,anger,0
özür dileyen,anger,0
özür dileyen,anger,0
özür dilemek,anger,0
özür,anger,0
irtidat,anger,0
mürted,anger,0
havari,anger,0
apostolik,anger,0
kesme işareti,anger,0
korkunç,anger,0
aparat,anger,0
giysi,anger,0
görünen o ki,anger,0
hayalet,anger,0
çekici,anger,0
dış görünüş,anger,0
yatıştırmak,anger,0
temyiz eden,anger,0
eklemek,anger,0
ek,anger,0
apandisit,anger,0
ek,anger,0
iştah,anger,0
meze,anger,0
alkış,anger,0
elma,anger,0
cihaz,anger,0
aletleri,anger,0
uygulanabilirlik,anger,0
uygulanabilir,anger,0
başvuru sahibi,anger,0
başvuru,anger,0
uygulamak,anger,0
tayin etmek,anger,0
randevu,anger,0
randevular,anger,0
paylaştırma,anger,0
paylaştırma,anger,0
değerlendirmek,anger,0
kayda değer,anger,0
takdir,anger,0
yakalamak,anger,0
endişe,anger,0
endişeli,anger,0
Çırak,anger,0
çıraklık,anger,0
yaklaşmak,anger,0
yaklaşıyor,anger,0
onay,anger,0
ödenek,anger,0
onay,anger,0
onaylamak,anger,0
onaylayan,anger,0
yaklaşık,anger,0
yaklaşık olarak,anger,0
yaklaşma,anger,0
yaklaşıklık,anger,0
irtifak hakkı,anger,0
apron,anger,0
uygun,anger,0
yetenek,anger,0
su,anger,0
akuamarin,anger,0
akvaryum,anger,0
sucul,anger,0
su kemeri,anger,0
sulu,anger,0
tarıma elverişli,anger,0
söz sahibi,anger,0
hakemlik yapmak,anger,0
Tahkim,anger,0
hakem,anger,0
çardak,anger,0
yay,anger,0
oyun makinesi,anger,0
kemer,anger,0
arkeolojik,anger,0
arkeolog,anger,0
arkeoloji,anger,0
arkaik,anger,0
başpiskopos,anger,0
kemerli,anger,0
okçu,anger,0
okçuluk,anger,0
arketip,anger,0
takımadalar,anger,0
mimar,anger,0
mimari,anger,0
Arşiv,anger,0
arktik,anger,0
ateşli,anger,0
şevk,anger,0
zorlu,anger,0
alan,anger,0
arena,anger,0
areola,anger,0
arjantin,anger,0
tartışmak,anger,1
argüman,anger,1
tartışma,anger,1
tartışmacı,anger,0
argümanlar,anger,1
kurak,anger,0
aristokrasi,anger,0
aristokrat,anger,0
aristokrat,anger,0
aritmetik,anger,0
gemi,anger,0
kol,anger,0
donanma,anger,0
silahlanma,anger,1
silahlar,anger,0
armatür,anger,0
silahlı,anger,1
zırh,anger,0
zırhlı,anger,0
cephanelik,anger,0
silâh,anger,0
Ordu,anger,0
aroma,anger,0
uyarılma,anger,0
uyandırmak,anger,0
duruşma,anger,1
düzenlemek,anger,0
düzenlenmiş,anger,0
ayarlama,anger,0
dizi,anger,0
borçlar,anger,0
tutuklanmak,anger,0
varış,anger,0
varmak,anger,0
kibir,anger,0
kibirli,anger,1
ok,anger,0
cephanelik,anger,0
arsenik,anger,0
kundakçılık,anger,1
Sanat,anger,0
arter,anger,0
kurnaz,anger,0
eklem bacaklı,anger,0
enginar,anger,0
makale,anger,0
nesne,anger,0
ifade,anger,0
artikülasyon,anger,0
yapay,anger,0
topçu,anger,0
zanaatkar,anger,0
sanatçı,anger,0
sanatçı,anger,0
sanatsal,anger,0
sanatçılar,anger,0
yükselmek,anger,0
üstünlük,anger,0
yükseliş,anger,0
çıkış,anger,0
anlamak,anger,0
kesin,anger,0
münzevi,anger,0
kül,anger,0
utanmış,anger,0
kül,anger,0
uyuya kalmak,anger,0
asp,anger,0
aspartam,anger,0
Görünüş,anger,0
bakış açıları,anger,0
asfalt,anger,0
aspirasyon,anger,0
talip,anger,0
hevesli,anger,0
eşek,anger,0
saldırmak,anger,1
saldırgan,anger,1
suikastçı,anger,1
suikâst düzenlemek,anger,1
suikast,anger,1
saldırı,anger,1
tahlil,anger,0
montaj,anger,0
birleştirmek,anger,0
birleştirilmiş,anger,0
toplantı,anger,0
rıza,anger,0
iddia etmek,anger,0
iddia etmek,anger,0
iddia,anger,0
değerlendirmek,anger,0
değerlendirme,anger,0
değerlendirici,anger,0
varlıklar,anger,0
Pislik,anger,1
atamak,anger,0
atanan,anger,0
atama,anger,0
özümsemek,anger,0
asimilasyon,anger,0
yardım,anger,0
yardım,anger,0
asistan,anger,0
iş arkadaşı,anger,0
bağlantı,anger,0
çeşitli,anger,0
çeşitler,anger,0
yatıştırmak,anger,0
varsayılan,anger,0
varsayarak,anger,0
Varsayım,anger,0
güvence,anger,0
garanti etmek,anger,0
emin,anger,0
kesinlikle,anger,0
yıldız işareti,anger,0
asteroitler,anger,0
astigmat,anger,0
şaşırtıcı bir şekilde,anger,0
şaşkınlık,anger,0
astral,anger,0
yoldan çıkmak,anger,0
büzücü,anger,0
astrolog,anger,0
astroloji,anger,0
astronot,anger,0
astronom,anger,0
astronomi,anger,0
zeki,anger,0
parçalamak,anger,0
iltica,anger,0
asimetrik,anger,0
asimetri,anger,0
asimptotik,anger,0
atölye,anger,0
ateizm,anger,0
ateist,anger,0
damar tıkanıklığı,anger,0
atlet,anger,0
atletik,anger,0
atletizm,anger,0
atletizm,anger,0
Atlas,anger,0
atmosfer,anger,0
atmosferik,anger,0
atol,anger,0
atom,anger,0
atomik,anger,0
kefaret,anger,0
kefaret,anger,0
atriyum,anger,0
iğrenç,anger,1
vahşet,anger,1
atrofi,anger,0
eklemek,anger,0
ek,anger,0
saldırı,anger,1
saldıran,anger,1
ulaşmak,anger,0
ulaşılabilir,anger,0
ulaşma,anger,0
teşebbüs,anger,0
katılım,anger,0
görevli,anger,0
dikkat,anger,0
özenli,anger,0
zayıflatmak,anger,0
zayıflatılmış,anger,0
zayıflama,anger,0
kanıtlamak,anger,0
tasdik,anger,0
Çatı katı,anger,0
giydirmek,anger,0
davranış,anger,0
avukat,anger,1
cazibe,anger,0
çekicilik,anger,0
atfedilebilir,anger,0
bağlanmak,anger,0
atıf,anger,0
yıpranma,anger,0
kumral,anger,0
açık arttırma,anger,0
mezatçı,anger,0
cüretkar,anger,0
cüret,anger,0
duyulabilir,anger,0
kitle,anger,0
denetim,anger,0
seçme,anger,0
denetçi,anger,0
konferans salonu,anger,0
işitsel,anger,0
her şey,anger,0
artırmak,anger,0
büyütme,anger,0
Ağustos,anger,0
hala,anger,0
aura,anger,0
aurora,anger,0
himaye,anger,0
uğurlu,anger,0
sade,anger,0
kemer sıkma,anger,0
otantik,anger,0
kimlik doğrulamak,anger,0
kimlik doğrulama,anger,0
özgünlük,anger,0
yazar,anger,0
yetkili,anger,0
yetki,anger,0
yetki,anger,0
yetki vermek,anger,0
yetkili,anger,0
yazarlık,anger,0
Oto,anger,0
otobiyografi,anger,0
otokratik,anger,0
imza,anger,0
otomatik,anger,0
otomobil,anger,0
özerklik,anger,0
otopsi,anger,0
sonbahar mevsimi,anger,0
ek,anger,0
yaramak,anger,0
çığ,anger,0
hırs,anger,1
avatar,anger,0
intikamcı,anger,1
Bulvar,anger,0
ortalama,anger,0
ortalama,anger,0
hoşlanmamak,anger,1
isteksizlik,anger,1
önlemek,anger,0
kuşhane,anger,0
havacılık,anger,0
havacı,anger,0
hırslı,anger,0
avokado,anger,0
kaçınmak,anger,0
kaçınma,anger,0
kaçınmak,anger,0
beklemek,anger,0
uyanmak,anger,0
uyandırmak,anger,0
ödül,anger,0
huşu,anger,0
berbat,anger,1
beceriksizlik,anger,0
tente,anger,0
ters,anger,0
eksenel,anger,0
aksiyom,anger,0
aksiyomatik,anger,0
eksen,anger,0
aks,anger,0
ay,anger,0
evet,anger,0
azimut,anger,0
gök mavisi,anger,0
gevezelik,anger,0
gevezelik,anger,0
babun,anger,0
bebek,anger,0
çocuk bakıcısı,anger,0
bakalorya,anger,0
bakara,anger,0
Lisans,anger,0
geri,anger,0
omurga,anger,1
destekçi,anger,0
ters tepme,anger,0
tavla,anger,0
arka fon,anger,0
kazıcı,anger,0
sırt çantalı gezgin,anger,0
geri adım atmak,anger,0
geriye,anger,0
geriye doğru,anger,0
durgun su,anger,0
bakteri,anger,0
bakteri,anger,0
kötü,anger,1
rozet,anger,0
porsuk,anger,1
kötü,anger,0
kötülük,anger,1
bölme,anger,0
sırt çantası,anger,0
bagaj,anger,0
bol,anger,0
gayda,anger,0
kefalet,anger,0
icra memuru,anger,0
yem,anger,0
pişirmek,anger,0
fırın,anger,0
pişirme,anger,0
bal,anger,0
denge,anger,0
dengeli,anger,0
balkon,anger,0
kel,anger,0
balya,anger,0
engel,anger,0
top,anger,0
türkü,anger,0
balast,anger,0
bale,anger,0
balon,anger,0
oy pusulası,anger,0
balo salonu,anger,0
balsam,anger,0
ılık,anger,0
balsam,anger,0
balzamik,anger,0
yasaklamak,anger,0
muz,anger,0
bant,anger,0
bandaj,anger,0
haydut,anger,0
çoğunluğa,anger,0
yıkım,anger,1
patlama,anger,1
vurucu,anger,1
sürgün etmek,anger,1
sürgün,anger,1
sürgün,anger,1
banjo,anger,0
banka,anger,0
bankacı,anger,0
iflas etti,anger,0
iflas,anger,1
afiş,anger,0
ziyafet,anger,0
ölüm perisi,anger,1
şaka,anger,0
vaftiz,anger,0
vaftiz,anger,0
çubuk,anger,0
diken,anger,1
barbar,anger,0
barbarca,anger,1
barbarlık,anger,0
Barbekü,anger,0
dikenli,anger,0
ozan,anger,0
eyersiz,anger,0
yalınayak,anger,0
zar zor,anger,0
kusmuk,anger,0
pazarlık etmek,anger,0
mavna,anger,0
bariton,anger,0
bağırmak,anger,1
ahır,anger,0
barney,anger,0
barometre,anger,0
baron,anger,0
barok,anger,0
kışla,anger,0
yasaklı,anger,0
varil,anger,0
kısır,anger,0
barikat,anger,0
bariyer,anger,1
dışında,anger,0
avukat,anger,0
el arabası,anger,0
barmen,anger,0
takas,anger,0
temel,anger,0
beyzbol,anger,0
süpürgelik,anger,0
temelsiz,anger,0
bodrum,anger,0
bazilika,anger,0
havza,anger,0
temel,anger,0
güneşlenmek,anger,0
sepet,anger,0
Basketbol,anger,0
bas,anger,0
basso,anger,0
fagot,anger,0
piç,anger,0
kale,anger,1
yarasa,anger,0
grup,anger,0
yığınlama,anger,0
batmak,anger,0
banyo,anger,0
yıkanmak,anger,0
banyo,anger,0
batimetri,anger,0
baton,anger,0
tabur,anger,1
meyilli,anger,1
hırpalanmış,anger,0
pil,anger,1
savaş,anger,1
savaştı,anger,1
savaş alanı,anger,0
müstehcen,anger,0
Defne,anger,0
süngü,anger,1
bayou,anger,0
Çarşı,anger,0
plaj,anger,0
işaret,anger,0
boncuk,anger,0
boncuk,anger,0
boncuklar,anger,0
beagle,anger,0
gaga,anger,0
beher,anger,0
ışın,anger,0
ışık saçan,anger,0
ayı,anger,1
sakal,anger,0
sakallı,anger,0
taşıyıcı,anger,0
rulman,anger,0
rulmanlar,anger,0
düşüş eğilimi,anger,1
canavar,anger,1
canavarca,anger,0
vurmak,anger,0
dayak,anger,1
güzel,anger,0
güzelleştirme,anger,0
güzel,anger,0
güzelleştirmek,anger,0
güzellik,anger,0
beck,anger,0
çağırmak,anger,0
yatak,anger,0
yatak takımı,anger,0
ana kaya,anger,0
yatak odası,anger,0
yatma zamanı,anger,0
bal arısı,anger,1
biftek,anger,0
arı kovanı,anger,0
bira,anger,0
balmumu,anger,0
böcek,anger,0
başına gelmek,anger,0
yakışır,anger,0
arkadaş olmak,anger,0
dilenmek,anger,0
dilenci,anger,0
dilenme,anger,0
başlamak,anger,0
acemi,anger,0
başlangıç,anger,0
başladı,anger,0
davranış,anger,0
dev,anger,0
rica,anger,0
seyretmek,anger,0
bakmak,anger,0
seyirci,anger,0
gecikmiş,anger,0
geciktirmek,anger,0
inanç,anger,0
inanılan,anger,0
inanan,anger,0
inanmak,anger,0
küçümsemek,anger,1
zil,anger,0
kavgacı,anger,1
feryat,anger,0
körük,anger,1
karın,anger,0
eşyalar,anger,0
kemer,anger,1
şaşkın,anger,0
Bank,anger,0
Bükmek,anger,0
bükücü,anger,0
bükme,anger,0
altında,anger,0
hayırsever,anger,0
yararlı,anger,0
yararlanıcı,anger,0
fayda,anger,0
iyilik,anger,0
iyi huylu,anger,0
kıvrılmış,anger,0
benzen,anger,0
vasiyet etmek,anger,0
vasiyet etmek,anger,0
yaslı,anger,0
kayıp,anger,0
yoksun,anger,0
bergamot,anger,0
Berlin,anger,0
çılgın,anger,1
rıhtım,anger,0
yalvarmak,anger,0
kuşatmak,anger,0
hayvani,anger,0
ihsan etmek,anger,0
bahis,anger,0
ihanet etmek,anger,1
ihanet,anger,1
nişanlı,anger,0
iyileştirme,anger,0
bahis,anger,0
betty,anger,0
eğim,anger,0
içecek,anger,0
kuş sürüsü,anger,0
dikkat,anger,0
şaşkın,anger,0
şaşkınlık,anger,0
ön yargı,anger,1
önyargılı,anger,0
önlük,anger,0
İncil'e ait,anger,0
kaynakça,anger,0
çekişme,anger,1
iki renkli,anger,0
bisiklet,anger,0
teklif etmek,anger,0
teklif veren,anger,0
teklif vermek,anger,0
bienal,anger,0
bira,anger,0
çatallanma,anger,0
büyük,anger,0
bağnaz,anger,1
bağnaz,anger,1
bisiklet,anger,0
iki taraflı,anger,0
iki katmanlı,anger,0
safra,anger,1
sintine,anger,0
iki dilli,anger,0
fatura,anger,0
kütük,anger,0
bilardo,anger,0
milyar,anger,0
billy,anger,0
iki ayda bir,anger,0
çöp Kutusu,anger,0
ikili,anger,0
bağlamak,anger,0
bağlayıcı,anger,0
bağlayıcı,anger,0
bing,anger,0
dürbün,anger,0
dürbün,anger,0
iki terimli,anger,0
biyogenez,anger,0
biyografi yazarı,anger,0
biyografi,anger,0
Biyoloji,anger,0
biyopsi,anger,0
biyosfer,anger,0
ikili,anger,0
huş ağacı,anger,1
kuş,anger,0
doğum,anger,0
doğum günü,anger,0
doğum yeri,anger,1
doğuştan gelen hak,anger,0
bis,anger,0
piskopos,anger,0
bizon,anger,0
biraz,anger,0
orospu,anger,1
ısırmak,anger,0
acı bir şekilde,anger,1
acılık,anger,1
zift,anger,0
iki haftada bir,anger,0
tuhaf,anger,0
böğürtlen,anger,0
kara tahta,anger,0
blackjack,anger,0
şantaj,anger,1
siyahlık,anger,0
demirci,anger,0
mesane,anger,0
bıçak ağzı,anger,0
suçlamak,anger,1
suçsuz,anger,0
mülayim,anger,0
boşluk,anger,0
battaniye,anger,0
küfürlü,anger,1
küfür,anger,1
üfleme,anger,1
bariz,anger,1
gevezelik,anger,0
alev,anger,1
yanan,anger,0
çamaşır suyu,anger,0
kasvetli,anger,0
kanama,anger,0
leke,anger,1
karışım,anger,0
karıştırma,anger,0
korusun,anger,0
mübarek,anger,0
nimet,anger,0
nimetler,anger,0
yanık,anger,0
yanık,anger,0
kör,anger,0
körü körüne,anger,0
gözü bağlı,anger,0
körü körüne,anger,0
körlük,anger,0
Göz kırpmak,anger,0
mutluluk,anger,0
mutlu,anger,0
kabarcık,anger,0
yıldırım,anger,0
kar fırtınası,anger,0
şişkin,anger,0
damla,anger,0
engellemek,anger,0
abluka,anger,1
sarışın,anger,0
kan,anger,0
tazı,anger,0
kansız,anger,0
kan dökmek,anger,1
kana susamış,anger,1
kanlı,anger,1
Çiçek açmak,anger,0
çiçeği,anger,0
kirletmek,anger,0
bluz,anger,0
üfleyici,anger,0
üfleme,anger,0
