Korean Word,Emotion,Condition
예리함,anger,0
침 요법,anger,0
급하게,anger,0
금언,anger,0
단호한,anger,0
적응하다,anger,0
적응할 수 있는,anger,0
추가하다,anger,0
추가,anger,0
부록,anger,0
가산기,anger,1
탐닉,anger,0
덧셈,anger,0
추가의,anger,0
첨가물,anger,0
주소,anger,0
수신인,anger,0
구애,anger,0
정통한,anger,0
적절,anger,0
적절한,anger,0
준수하다,anger,0
부착,anger,0
자기편,anger,0
고착,anger,0
부착,anger,0
점착제,anger,0
안녕,anger,0
지방,anger,0
인접,anger,0
인접한,anger,0
형용사,anger,0
인접한,anger,0
연기하다,anger,0
연기,anger,0
판결하다,anger,0
판결,anger,0
부가어,anger,0
조정하다,anger,0
조정,anger,0
보조제,anger,0
관리하다,anger,0
관리,anger,0
행정,anger,0
훌륭한,anger,0
해군 대장,anger,0
해군 대장,anger,0
감탄,anger,0
존경하다,anger,0
숭배자,anger,0
허용 성,anger,0
허용,anger,0
가입,anger,0
인정하다,anger,0
입장,anger,0
인정,anger,0
인정,anger,0
혼합,anger,0
훈계,anger,0
야단법석,anger,0
어도비 벽돌,anger,0
청년기,anger,0
한창 젊은,anger,0
입양하다,anger,0
양자,anger,0
사랑스러운,anger,0
동경,anger,0
숭배하다,anger,0
꾸미다,anger,0
장식품,anger,0
떠돌아,anger,0
성인,anger,0
불순물,anger,0
간통,anger,0
전진,anger,0
고급의,anger,0
진보,anger,0
전진,anger,0
이점,anger,0
유리한,anger,0
출현,anger,0
모험,anger,0
모험가,anger,0
모험적인,anger,0
적,anger,1
불리한,anger,1
역경,anger,1
공시 하다,anger,0
광고,anger,0
조언,anger,0
타당한,anger,0
권하다,anger,0
조언,anger,0
조언,anger,0
고문,anger,0
옹호,anger,1
지지하다,anger,0
보호,anger,0
폭기,anger,0
공중선,anger,0
비행장,anger,0
공기역학,anger,0
항공학,anger,0
비행기,anger,0
미적인,anger,0
미학,anger,0
병인학,anger,0
멀리,anger,0
상냥한,anger,0
일,anger,0
영향을 미치는,anger,0
애정,anger,0
애정,anger,0
어피치,anger,0
진술서,anger,0
제휴,anger,0
입회,anger,0
유연,anger,0
확인하다,anger,0
확언,anger,0
긍정적,anger,0
긍정적으로,anger,0
부착,anger,0
괴롭히다,anger,0
고통받는,anger,0
고통,anger,0
풍부,anger,0
풍족한,anger,0
형편이되다,anger,0
모욕,anger,1
멀리,anger,0
전에,anger,0
앞서 말한,anger,0
앞서 말한,anger,0
두려워하는,anger,0
새로이,anger,0
후미,anger,0
여파,anger,1
오후,anger,0
뒷맛,anger,0
보적,anger,0
아가,anger,0
마노,anger,0
나이,anger,0
늙은,anger,0
대행사,anger,0
에이전트,anger,0
덩어리,anger,0
악화,anger,1
악화,anger,1
악화,anger,1
골재,anger,0
집합,anger,0
침략,anger,1
적극적인,anger,1
침략자,anger,1
깜짝 놀라,anger,0
기민한,anger,0
민첩,anger,0
흥분한,anger,1
동요,anger,1
불가지론자,anger,0
~ 전에,anger,0
고뇌하는,anger,0
고뇌,anger,1
동의하다,anger,0
기분 좋은,anger,0
동의,anger,0
동의,anger,0
합의,anger,0
농업,anger,0
농업,anger,0
좌초,anger,0
아구아,anger,0
앞으로,anger,0
지원,anger,0
원조,anger,0
괴롭히다,anger,0
병든,anger,0
병,anger,0
겨냥하다,anger,0
목적 없는,anger,0
공기,anger,0
에어백,anger,0
공수,anger,0
공기 호스,anger,0
비행사,anger,0
비행기,anger,0
공항,anger,0
공기,anger,0
비행선,anger,0
통로,anger,0
아이,anger,0
조금 열려져,anger,0
유사,anger,0
설화 석고,anger,0
경보,anger,0
놀라운,anger,0
장백의,anger,0
앨범,anger,0
연금술,anger,0
술,anger,0
대주,anger,1
반침,anger,0
알리다,anger,0
경보,anger,0
경고,anger,0
자주개자리,anger,0
대수학,anger,0
대수적,anger,0
연산,anger,0
구실,anger,0
외계인,anger,0
소외시키다,anger,1
소외감을 느끼게하다,anger,0
이질성,anger,1
불타고,anger,0
정렬,anger,0
조정,anger,0
서로 같은,anger,0
영양,anger,0
별거 수당,anger,0
분취,anger,0
살아 있는,anger,0
알칼리,anger,0
알칼로이드,anger,0
완화,anger,0
진술,anger,1
주장하다,anger,0
주장,anger,0
충성,anger,0
우화적인,anger,0
우화,anger,0
알레그로,anger,0
덜다,anger,0
경감,anger,0
골목,anger,0
동맹,anger,0
결연한,anger,0
악어,anger,0
할당하다,anger,0
배당,anger,0
할당,anger,0
할당,anger,0
허용,anger,0
용돈,anger,0
허용된,anger,0
합금,anger,0
매력,anger,0
매혹적인,anger,0
암시,anger,0
충적,anger,0
동맹국,anger,0
달력,anger,0
전능자,anger,0
위에,anger,0
알로하,anger,0
나란히,anger,0
쌀쌀한,anger,0
소리 내어,anger,0
알파벳,anger,0
알파벳순,anger,0
제단,anger,0
바꾸다,anger,0
변경,anger,0
언쟁,anger,1
변경된,anger,0
번갈아 하는,anger,0
대안,anger,0
고도,anger,0
알토,anger,0
전부,anger,0
학생,anger,0
폐포,anger,0
아말감,anger,0
융합,anger,0
쌓다,anger,0
아마추어,anger,0
몹시 놀라게 하다,anger,0
놀람,anger,0
놀랍게도,anger,0
대사,anger,0
호박색,anger,0
주변,anger,0
모호,anger,0
모호한,anger,0
범위,anger,0
큰 뜻,anger,0
거창한,anger,0
구급차,anger,0
매복,anger,1
개선하다,anger,0
아멘,anger,0
받을 수 있는,anger,0
개정하다,anger,0
개정,anger,0
보상,anger,0
예의,anger,0
자수정,anger,0
붙임성 있는,anger,0
우호적,anger,0
가운데에,anger,0
한가운데,anger,0
암모니아,anger,0
탄약,anger,0
기억력 상실,anger,0
특사,anger,0
무정형,anger,0
상각,anger,0
양,anger,0
정사,anger,0
앰퍼샌드,anger,0
암페타민,anger,0
수륙 양용 비행기,anger,0
수륙 양용,anger,0
원형 극장,anger,0
확대,anger,0
더욱 상세히하다,anger,0
진폭,anger,0
충분히,anger,0
절단,anger,0
부적,anger,0
기쁘게하다,anger,0
즐기는,anger,0
즐거움,anger,0
즐거움,anger,0
어록,anger,0
아나콘다,anger,0
마취,anger,0
마취제,anger,0
항문,anger,0
진통제,anger,0
유사한,anger,0
비슷한 물건,anger,0
유추,anger,0
분석,anger,0
분석자,anger,0
분석적,anger,0
분석하다,anger,0
분석기,anger,0
무정부주의,anger,1
무정부주의자,anger,1
무정부 상태,anger,1
문합,anger,0
저주,anger,1
해부학적,anger,0
해부,anger,0
선조,anger,0
조상의,anger,0
가계,anger,0
닻,anger,0
앵커리지,anger,0
고대의,anger,0
보조,anger,0
안드로겐,anger,0
아네모네,anger,0
다시 한번,anger,0
천사,anger,0
천사의,anger,0
화,anger,1
협심증,anger,0
혈관 조영술,anger,0
각도,anger,0
낚시,anger,0
화난,anger,1
격통,anger,1
모난,anger,0
무수,anger,0
동물,anger,0
생명 있는,anger,0
생기 있는,anger,0
생기,anger,0
악의,anger,1
적의,anger,1
발목,anger,0
연대기,anger,0
신관,anger,0
부가,anger,0
신관,anger,0
억누르다,anger,1
전멸,anger,1
전멸,anger,1
주석을 달다,anger,0
주석,anger,0
발표하다,anger,0
발표,anger,0
짜증나게 하다,anger,1
성가심,anger,1
성가신,anger,1
연금,anger,0
무효,anger,0
환상,anger,0
무효 선언,anger,0
고리,anger,0
기름부음,anger,0
변칙적인,anger,0
변칙,anger,0
곧,anger,0
익명의,anger,0
대답,anger,0
답할 수 있는,anger,0
대답,anger,0
개미,anger,0
반대,anger,1
길항근,anger,1
적대적인,anger,1
앤티,anger,0
전례,anger,0
영양,anger,0
안테나,anger,0
전의,anger,0
축가,anger,0
시집,anger,0
탄저병,anger,0
인류학,anger,0
항생 물질,anger,0
항생제,anger,0
적그리스도,anger,1
예기,anger,0
예상하는,anger,0
해독제,anger,0
항진균제,anger,0
안티몬,anger,0
반감,anger,1
골동품 수집가,anger,0
구식,anger,0
고대 미술,anger,0
유물,anger,0
방부제,anger,0
반사회적인,anger,1
대조법,anger,1
정반대의,anger,0
항바이러스제,anger,0
용,anger,0
모루,anger,0
불안,anger,1
불안해하는,anger,0
대동맥,anger,0
빨리,anger,0
아파치,anger,0
아파트,anger,0
냉담한,anger,0
냉담,anger,0
원숭이,anger,0
구멍,anger,0
꼭대기,anger,0
진딧물,anger,0
한 조각,anger,0
수직,anger,0
묵시적인,anger,0
사과하다,anger,0
변명,anger,0
사과하다,anger,0
사과,anger,0
배교,anger,0
배교하다,anger,0
사도,anger,0
사도의,anger,0
아포스트로피,anger,0
질리는,anger,0
기구,anger,0
의복,anger,0
보기에,anger,0
환영,anger,0
항소,anger,0
모습,anger,0
달래다,anger,0
항소인,anger,0
추가,anger,0
부속 기관,anger,0
충수염,anger,0
부록,anger,0
식욕,anger,0
간식,anger,0
박수 갈채,anger,0
사과,anger,0
기구,anger,0
가전제품,anger,0
적용 가능성,anger,0
해당되는,anger,0
응모자,anger,0
신청,anger,0
적용하다,anger,0
정하다,anger,0
약속,anger,0
설비,anger,0
배분,anger,0
배분,anger,0
평가하다,anger,0
상당한,anger,0
감사,anger,0
깨닫다,anger,0
우려,anger,0
불안한,anger,0
도제,anger,0
견습,anger,0
접근하다,anger,0
접근,anger,0
허가,anger,0
인가,anger,0
승인,anger,0
승인하다,anger,0
승인,anger,0
근사치를 내다,anger,0
약,anger,0
근사,anger,0
근사,anger,0
부속품,anger,0
앞치마,anger,0
적절한,anger,0
적성,anger,0
아쿠아,anger,0
남옥,anger,0
수족관,anger,0
물의,anger,0
수로,anger,0
물의,anger,0
경작할 수 있는,anger,0
중재인,anger,0
중재하다,anger,0
중재,anger,0
중재인,anger,0
정자,anger,0
호,anger,0
아케이드,anger,0
아치,anger,0
고고학의,anger,0
고고학자,anger,0
고고학,anger,0
낡은,anger,0
대주교,anger,0
아치형,anger,0
궁수,anger,0
양궁,anger,0
원형,anger,0
열도,anger,0
건축가,anger,0
건축물,anger,0
보관소,anger,0
북극,anger,0
불타는,anger,0
열정,anger,0
어려운,anger,0
지역,anger,0
투기장,anger,0
그물코 틈,anger,0
은빛,anger,0
다투다,anger,1
논쟁,anger,1
입론,anger,1
논쟁적인,anger,0
인수,anger,1
건조한,anger,0
귀족,anger,0
귀족,anger,0
귀족,anger,0
산수,anger,0
방주,anger,0
팔,anger,0
함대,anger,0
군비,anger,1
군비,anger,0
전기자,anger,0
무장,anger,1
갑옷,anger,0
기갑,anger,0
병기고,anger,0
무기,anger,0
군대,anger,0
방향,anger,0
각성,anger,0
깨우다,anger,0
죄상 인부,anger,1
마련하다,anger,0
배열,anger,0
준비,anger,0
정렬,anger,0
미불,anger,0
체포,anger,0
도착,anger,0
도착하다,anger,0
거만,anger,0
오만한,anger,1
화살,anger,0
병기고,anger,0
비소,anger,0
방화,anger,1
미술,anger,0
동맥,anger,0
교활한,anger,0
절지동물,anger,0
아티초크,anger,0
기사,anger,0
조항,anger,0
분명히 하다,anger,0
관절,anger,0
기교,anger,0
포,anger,0
장인,anger,0
아티스트,anger,0
예술가,anger,0
예술적,anger,0
예술가들,anger,0
오르다,anger,0
우월성,anger,0
승천,anger,0
오르막,anger,0
명백히 하다,anger,0
확인,anger,0
고행자,anger,0
금연 건강 증진 협회,anger,0
부끄러운,anger,0
재,anger,0
죽어,anger,0
ASP,anger,0
아스파탐,anger,0
측면,anger,0
상들,anger,0
아스팔트,anger,0
포부,anger,0
열망하다,anger,0
야심찬,anger,0
나귀,anger,0
공격하다,anger,1
공격자,anger,1
암살자,anger,1
암살하다,anger,1
암살,anger,1
폭행,anger,1
시험,anger,0
조립,anger,0
모으다,anger,0
조립,anger,0
집회,anger,0
동의,anger,0
주장하다,anger,0
주장,anger,0
역설,anger,0
평가하다,anger,0
평가,anger,0
배석 판사,anger,0
자산,anger,0
항문,anger,1
양수인,anger,0
양수인,anger,0
과제,anger,0
동화하다,anger,0
동화,anger,0
돕다,anger,0
보조,anger,0
어시스턴트,anger,0
연관짓다,anger,0
협회,anger,0
어울리는,anger,0
구분,anger,0
달래다,anger,0
추정,anger,0
가정하다,anger,0
추정,anger,0
보증,anger,0
확신,anger,0
자신 있는,anger,0
확실히,anger,0
별표,anger,0
소행성,anger,0
난시,anger,0
놀랍게도,anger,0
놀람,anger,0
아스트랄,anger,0
길을 잃다,anger,0
수렴제,anger,0
점성가,anger,0
점성학,anger,0
우주 비행사,anger,0
천문학자,anger,0
천문학,anger,0
기민한,anger,0
떨어져,anger,0
보호 시설,anger,0
비대칭,anger,0
어울리지 않음,anger,0
점근적인,anger,0
아틀리에,anger,0
무신론,anger,0
무신론자,anger,0
죽상 동맥 경화증,anger,0
운동 선수,anger,0
운동,anger,0
운동신경,anger,0
체육 실기,anger,0
아틀라스,anger,0
대기,anger,0
대기,anger,0
환초,anger,0
원자,anger,0
원자,anger,0
속죄하다,anger,0
보상,anger,0
아트리움,anger,0
극악한,anger,1
포악,anger,1
위축,anger,0
붙이다,anger,0
부착,anger,0
공격,anger,1
공격,anger,1
달성하다,anger,0
이를 수 있는,anger,0
달성,anger,0
시도,anger,0
출석,anger,0
참석자,anger,0
주목,anger,0
친절한,anger,0
가늘게 하다,anger,0
감쇠,anger,0
감쇠,anger,0
증명하다,anger,0
증명,anger,0
애틱,anger,0
복장,anger,0
태도,anger,0
변호사,anger,1
끌어 당김,anger,0
매력,anger,0
귀속,anger,0
기인하다,anger,0
속성,anger,0
마찰,anger,0
어번,anger,0
경매,anger,0
경매인,anger,0
대담한,anger,0
대담,anger,0
들리는,anger,0
청중,anger,0
심사,anger,0
오디션,anger,0
감사,anger,0
강당,anger,0
귀의,anger,0
어떤 일,anger,0
증강,anger,0
증가,anger,0
팔월,anger,0
이모,anger,0
영기,anger,0
오로라,anger,0
원조,anger,0
길조,anger,0
남풍,anger,0
내핍 생활,anger,0
진본인,anger,0
인증하다,anger,0
입증,anger,0
확실성,anger,0
작가,anger,0
권위 있는,anger,0
권한,anger,0
권한 부여,anger,0
승인하다,anger,0
인정 받은,anger,0
원작자,anger,0
자동,anger,0
자서전,anger,0
독재자,anger,0
자필,anger,0
자동적 인,anger,0
자동차,anger,0
자치,anger,0
검시,anger,0
가을,anger,0
보조자,anger,0
이익,anger,0
눈사태,anger,0
탐욕,anger,1
화신,anger,0
복수자,anger,1
수단,anger,0
단언,anger,0
평균,anger,0
싫어하다,anger,1
혐오,anger,1
돌리다,anger,0
새장,anger,0
비행,anger,0
비행가,anger,0
욕심 많은,anger,0
아보카도,anger,0
피하다,anger,0
기피,anger,0
회피,anger,0
기다리다,anger,0
깨어 있는,anger,0
깨우다,anger,0
상,anger,0
두려움,anger,0
끔찍한,anger,1
어색함,anger,0
천막,anger,0
틀려서,anger,0
축,anger,0
공리,anger,0
공리적,anger,0
중심선,anger,0
차축,anger,0
찬성,anger,0
찬성,anger,0
방위각,anger,0
하늘빛,anger,0
떠드는 소리,anger,0
졸졸 흐르는,anger,0
비비,anger,0
아기,anger,0
안저지,anger,0
학사,anger,0
바카라,anger,0
미혼 남자,anger,0
뒤,anger,0
등뼈,anger,1
후원자,anger,0
역화,anger,0
주사위 놀이,anger,0
배경,anger,0
백호,anger,0
백패커,anger,0
역추적,anger,0
뒤로,anger,0
뒤로,anger,0
지적 부진,anger,0
박테리아,anger,0
박테리아,anger,0
나쁜,anger,1
배지,anger,0
오소리,anger,1
심하게,anger,0
나쁜 상태,anger,1
헛되이 애쓰다,anger,0
가방,anger,0
수하물,anger,0
불룩한,anger,0
백파이프,anger,0
보석,anger,0
집행관,anger,0
미끼,anger,0
빵 굽기,anger,0
빵집,anger,0
빵 굽기,anger,0
발,anger,0
균형,anger,0
균형이 잡힌,anger,0
발코니,anger,0
노골적인,anger,0
곤포,anger,0
놓치다,anger,0
공,anger,0
민요,anger,0
안정기,anger,0
발레,anger,0
풍선,anger,0
투표권,anger,0
사교 댄스,anger,0
향유,anger,0
상쾌한,anger,0
봉숭아,anger,0
발사믹,anger,0
반,anger,0
바나나,anger,0
밴드,anger,0
붕대,anger,0
적기,anger,0
악대차,anger,0
독,anger,1
쾅,anger,1
소시지,anger,1
덜어 없애다,anger,1
추방,anger,1
추방,anger,1
밴조,anger,0
은행,anger,0
은행가,anger,0
파산한,anger,0
파산,anger,1
배너,anger,0
연회,anger,0
반시,anger,1
농담,anger,0
세례,anger,0
세례식,anger,0
술집,anger,0
미늘,anger,1
야만인,anger,0
야만인 같은,anger,1
야만인,anger,0
야외 파티,anger,0
가시 돋친,anger,0
음유 시인,anger,0
안장이 놓여 있지 않은,anger,0
맨발로,anger,0
간신히,anger,0
바프,anger,0
싸게 사는 물건,anger,0
짐배,anger,0
바리톤,anger,0
짖다,anger,1
외양간,anger,0
바니,anger,0
기압계,anger,0
남작,anger,0
바로크,anger,0
바라크,anger,0
가두어 버린,anger,0
통,anger,0
메마른,anger,0
바리케이드,anger,0
장벽,anger,1
금지,anger,0
법정 변호사,anger,0
손수레,anger,0
바텐더,anger,0
물물 교환,anger,0
베이스,anger,0
야구,anger,0
베이스보드,anger,0
근거 없는,anger,0
최하부,anger,0
공회당,anger,0
분지,anger,0
기초,anger,0
숙면을 취하다,anger,0
바구니,anger,0
농구,anger,0
베이스,anger,0
바소,anger,0
바순,anger,0
새끼,anger,0
능보,anger,1
박쥐,anger,0
일괄,anger,0
일괄 처리,anger,0
노여움,anger,0
욕조,anger,0
미역,anger,0
화장실,anger,0
수심 측량술,anger,0
지휘봉,anger,0
대대,anger,1
반죽,anger,1
오래 써서 낡은,anger,0
배터리,anger,1
전투,anger,1
전투,anger,1
싸움터,anger,0
음담,anger,0
만,anger,0
총검,anger,1
바 이유,anger,0
바자,anger,0
해변,anger,0
봉홧불,anger,0
구슬,anger,0
구슬 장식,anger,0
염주,anger,0
비글,anger,0
부리,anger,0
굽 달린 큰 컵,anger,0
빔,anger,0
빛나는,anger,0
곰,anger,1
수염,anger,0
수염 난,anger,0
교군꾼,anger,0
베어링,anger,0
문장,anger,0
약세,anger,1
짐승,anger,1
짐승 같은,anger,0
이기다,anger,0
고동,anger,1
아름다운,anger,0
아름다움,anger,0
아름다운,anger,0
아름답게 하다,anger,0
아름다움,anger,0
끄덕임,anger,0
꾀어 부르다,anger,0
침대,anger,0
침구,anger,0
근본적인,anger,0
침실,anger,0
취침 시간,anger,0
벌,anger,1
쇠고기,anger,0
벌집,anger,0
맥주,anger,0
밀랍,anger,0
딱정벌레,anger,0
생기다,anger,0
어울리는,anger,0
돕다,anger,0
빌다,anger,0
거지,anger,0
구걸,anger,0
시작하다,anger,0
초보자,anger,0
시작,anger,0
시작된,anger,0
행동,anger,0
거대한 짐승,anger,0
명령,anger,0
보다,anger,0
보라,anger,0
보는 사람,anger,0
때늦은,anger,0
확보,anger,0
믿음,anger,0
믿었다,anger,0
신자,anger,0
믿는,anger,0
얕보다,anger,1
벨,anger,0
교전국,anger,1
소 우는 소리,anger,0
풀무,anger,1
배,anger,0
소지품,anger,0
벨트,anger,1
당황,anger,0
벤치,anger,0
굽히다,anger,0
다리,anger,0
굽힘,anger,0
~ 아래에,anger,0
은인,anger,0
유익한,anger,0
수익자,anger,0
혜택,anger,0
자비심,anger,0
온화한,anger,0
굽은,anger,0
벤젠,anger,0
남기다,anger,0
유증,anger,0
잃은,anger,0
여읨,anger,0
여읜,anger,0
베르가못,anger,0
베를린,anger,0
맹렬한,anger,1
침대,anger,0
청하다,anger,0
뒤따르다,anger,0
짐승 같은,anger,0
두다,anger,0
내기,anger,0
팔다,anger,1
배신,anger,1
약혼자,anger,0
개량,anger,0
도박,anger,0
베티,anger,0
사각,anger,0
음료,anger,0
떼,anger,0
조심하다,anger,0
어리둥절,anger,0
당황,anger,0
편견,anger,1
치우친,anger,0
턱받이,anger,0
성경의,anger,0
서지,anger,0
말다툼,anger,1
바이 컬러,anger,0
자전거,anger,0
매기다,anger,0
명령자,anger,0
입찰,anger,0
격년제,anger,0
관대,anger,0
분기,anger,0
큰,anger,0
편협한,anger,1
편협한,anger,1
자전거,anger,0
양측,anger,0
이중층,anger,0
담즙,anger,1
중배,anger,0
이중 언어,anger,0
계산서,anger,0
철판,anger,0
당구,anger,0
10억,anger,0
곤봉,anger,0
격월로,anger,0
큰 상자,anger,0
바이너리,anger,0
묶다,anger,0
바인더리,anger,0
제본,anger,0
빙,anger,0
쌍안경,anger,0
쌍안경,anger,0
이항식,anger,0
생물발생,anger,0
전기 작가,anger,0
전기,anger,0
생물학,anger,0
생검,anger,0
생물권,anger,0
이분법,anger,0
자작나무,anger,1
새,anger,0
출생,anger,0
생신,anger,0
출생지,anger,1
타고난 권리,anger,0
두번,anger,0
주교,anger,0
바이슨,anger,0
조금,anger,0
암캐,anger,1
깨물다,anger,0
몹시,anger,1
신랄,anger,1
역청,anger,0
격주 간행물,anger,0
기괴한,anger,0
블랙베리,anger,0
칠판,anger,0
곤봉,anger,0
약탈,anger,1
검음,anger,0
대장장이,anger,0
방광,anger,0
잎,anger,0
탓하다,anger,1
죄 없는,anger,0
온화한,anger,0
공백,anger,0
담요,anger,0
신성모독,anger,1
신성 모독,anger,1
폭발,anger,1
떠들썩한,anger,1
블래더,anger,0
불꽃,anger,1
타오르는,anger,0
표백제,anger,0
차가운,anger,0
출혈,anger,0
흠,anger,1
혼합하다,anger,0
블렌딩,anger,0
신을 하다,anger,0
축복 받은,anger,0
축복,anger,0
축복,anger,0
마름병,anger,0
역병,anger,0
눈이 멀다,anger,0
눈가리개,anger,0
눈가리개,anger,0
맹목적으로,anger,0
맹목,anger,0
깜박거리다,anger,0
다시 없는 기쁨,anger,0
더없이 행복한,anger,0
수포,anger,0
전격,anger,0
눈보라,anger,0
부푼,anger,0
얼룩,anger,0
차단하다,anger,0
봉쇄,anger,1
금발,anger,0
피,anger,0
집요한 추적자,anger,0
핏기 없는,anger,0
유혈,anger,1
피에 굶주린,anger,1
피의,anger,1
꽃,anger,0
꽃,anger,0
얼룩,anger,0
블라우스,anger,0
부는 사람,anger,0
취주,anger,0
부푼,anger,0
분출,anger,0
푸른,anger,0
블루스,anger,0
절벽,anger,0
푸르스름한,anger,0
큰 실수,anger,0
무딘,anger,0
흐림,anger,0
흐리게,anger,0
붉히다,anger,0
얼굴이 빨개지는,anger,0
보아,anger,0
수퇘지,anger,0
판자,anger,0
하숙인,anger,0
탑승,anger,0
무대,anger,0
자랑,anger,0
자랑,anger,0
보트,anger,0
주유,anger,0
실패,anger,0
보데,anger,0
몸통 부분,anger,0
육체적,anger,0
신체,anger,0
친위대,anger,0
변소,anger,0
가짜,anger,1
종기,anger,0
보일러,anger,0
상용구,anger,0
비등,anger,0
거친,anger,1
굵게,anger,0
대담,anger,0
받침,anger,0
볼트,anger,0
볼루스,anger,0
폭탄,anger,1
포,anger,1
충격,anger,1
폭격,anger,0
마리화나 담배,anger,0
대성공,anger,0
노예,anger,0
속박,anger,0
채권,anger,0
뼈,anger,0
얼빠진 실책,anger,0
뼈,anger,0
모닥불,anger,0
아이 보는 여자,anger,0
보닛,anger,0
보너스,anger,0
뼈,anger,0
우우,anger,0
얼간이,anger,0
얼간이,anger,0
책,anger,0
책장,anger,0
예약,anger,0
책을 좋아하는,anger,0
부기 계원,anger,0
부기,anger,0
작은 책자,anger,0
서적,anger,0
서적상,anger,0
서점,anger,0
서점,anger,0
독서광,anger,0
부메랑,anger,0
호황,anger,0
혜택,anger,0
후원,anger,0
부스터,anger,0
신병,anger,0
노점,anger,0
부츠,anger,0
전리품,anger,0
술,anger,0
국경,anger,0
경계,anger,0
구경,anger,0
아한대,anger,0
지루함,anger,0
구멍 뚫는 기구,anger,0
지루한,anger,0
자치구,anger,0
빌리다,anger,0
빌어 쓰는 사람,anger,0
가슴,anger,0
사장,anger,0
보스턴,anger,0
식물의,anger,0
식물학자,anger,0
식물학,anger,0
신경 쓰다,anger,0
귀찮게,anger,1
병,anger,0
맨 아래,anger,0
밑바닥 없는,anger,0
둥근 돌,anger,0
되튐,anger,0
경계,anger,0
경계,anger,0
무한한,anger,0
범위,anger,0
풍부한,anger,0
하사품,anger,0
꽃다발,anger,0
부르주아,anger,0
자본가 계급,anger,0
증권사,anger,0
합,anger,1
소,anger,0
절했다,anger,0
창자,anger,0
그릇,anger,0
그릇,anger,0
상자,anger,0
복서,anger,0
권투,anger,1
보이콧,anger,0
소년기,anger,0
소년 같은,anger,0
중괄호,anger,0
팔찌,anger,0
바지 멜빵,anger,0
상완,anger,0
까치발,anger,0
괄호,anger,0
소금기 있는,anger,0
브래드,anger,0
자랑거리,anger,0
드리다,anger,0
뇌,anger,0
두뇌,anger,0
영감,anger,0
브레이크,anger,0
밀기울,anger,0
나뭇가지,anger,0
분기,anger,0
브랜디,anger,0
놋쇠,anger,0
애새끼,anger,0
허세,anger,0
용감,anger,0
말다툼,anger,1
단단한,anger,1
위반,anger,0
빵,anger,0
폭,anger,0
부서지다,anger,0
깨뜨릴 수 있는,anger,0
고장,anger,0
파쇄기,anger,0
차단기,anger,0
아침밥,anger,0
맹렬한,anger,0
붕괴,anger,0
호흡,anger,0
볼기,anger,0
