anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,French Word
0,0,0,0,1,0,1,0,0,0,accomplir
0,0,0,0,1,0,1,0,0,0,réalisé
0,0,0,0,0,0,1,0,0,0,accomplissement
0,0,0,0,0,0,1,0,0,1,accord
0,0,0,0,0,0,0,0,0,0,conformité
0,0,0,0,0,0,0,0,0,0,accordéon
0,0,0,0,0,0,0,0,0,1,Compte
0,0,0,0,0,0,1,0,0,1,responsabilité
0,0,0,0,0,0,1,0,0,1,redevable
0,0,0,0,0,0,0,0,0,1,comptable
0,0,0,0,0,0,0,0,0,0,comptabilité
0,0,0,0,0,0,0,0,0,1,comptes
0,0,0,0,0,0,1,0,0,1,accrédité
0,0,0,0,0,0,0,0,0,0,accumulation
0,0,0,0,0,0,0,0,0,0,s'accumuler
0,0,0,0,0,0,1,0,0,0,accueil
0,0,0,0,0,0,0,0,0,0,accumuler
0,0,0,0,0,0,0,0,0,0,accumulation
0,0,0,0,0,0,0,0,0,0,précision
0,0,0,0,0,0,1,0,0,1,exact
1,0,0,1,0,1,0,1,0,0,maudit
1,0,1,0,0,1,0,0,0,0,accusation
0,0,0,0,0,1,0,0,0,0,accusatif
1,0,0,1,0,1,0,0,0,0,accusé
1,0,0,1,0,1,0,0,0,0,accusateur
1,0,0,1,0,1,0,0,0,0,accuser
0,0,0,0,0,0,0,0,0,0,habitué
0,0,0,0,0,0,1,0,0,0,as
0,0,0,0,0,0,0,0,0,0,acétique
0,0,0,0,0,1,0,1,0,0,mal
0,0,0,0,1,0,1,0,0,1,atteindre
0,1,0,0,1,0,1,0,0,1,réalisation
0,0,0,0,0,1,0,1,0,0,douloureux
0,0,0,0,0,1,0,0,0,0,acide
0,0,0,0,0,0,0,0,0,0,acidité
0,0,0,0,0,0,0,0,0,0,reconnaître
0,0,0,0,0,0,0,0,0,0,reconnu
0,0,0,0,0,0,1,0,0,0,reconnaissance
0,0,0,0,0,0,0,0,0,0,acmé
0,0,0,0,0,0,0,0,0,0,acoustique
0,0,0,0,0,0,0,0,0,0,acoustique
0,0,0,0,0,0,0,0,0,0,informer
0,0,0,0,0,0,0,0,0,0,connaissance
0,0,0,0,0,0,0,0,0,0,connaissance
0,0,0,0,0,0,0,0,0,0,consentement
0,0,0,0,0,0,1,0,0,0,acquérir
0,1,0,0,0,0,1,0,0,0,acquérir
0,0,0,0,0,0,0,0,0,0,acquisition
0,0,0,0,0,0,0,0,0,0,acquisitions
0,0,0,0,0,0,0,0,0,0,superficie
0,0,0,0,0,0,0,0,0,0,acres
0,0,0,1,1,0,1,0,0,1,acrobate
0,0,0,0,0,0,0,0,0,0,loi
0,0,0,0,0,0,0,0,0,0,agissant
0,0,0,0,0,0,1,0,0,0,action
1,0,1,0,0,1,0,0,0,0,exploitable
0,0,0,0,0,0,0,0,0,0,actif
0,0,0,0,0,0,0,0,0,0,activité
0,0,0,0,0,0,0,0,0,0,acteur de cinéma
0,0,0,0,0,0,1,0,0,0,réel
0,0,0,0,0,0,0,0,0,0,actualité
0,0,0,0,0,0,0,0,0,0,actuaire
0,0,0,0,0,0,1,0,0,0,acuité
0,0,0,0,0,0,1,0,0,0,perspicacité
0,0,0,0,0,0,0,0,0,0,acupuncture
0,0,0,0,0,0,0,0,0,0,intensément
0,0,0,0,0,0,0,0,0,0,adage
0,0,0,0,0,0,0,0,0,0,catégorique
0,0,0,0,0,0,1,0,0,0,adapter
0,0,0,0,0,0,1,0,0,0,adaptable
0,0,0,0,0,0,0,0,0,0,ajouter
0,0,0,0,0,0,0,0,0,0,ajoutée
0,0,0,0,0,0,0,0,0,0,Addenda
1,0,1,1,0,1,0,1,0,0,additionneur
0,0,0,0,0,1,0,0,0,0,dépendance
0,0,0,0,0,0,0,0,0,0,ajout
0,0,0,0,0,0,0,0,0,0,Additionnel
0,0,0,0,0,0,0,0,0,0,additif
0,0,0,0,0,0,0,0,0,0,adresse
0,0,0,0,0,0,0,0,0,0,destinataire
0,1,0,0,0,0,1,0,0,0,adresses
0,0,0,0,0,0,1,0,0,0,expert
0,0,0,0,0,0,1,0,0,0,adéquation
0,0,0,0,0,0,0,0,0,0,adéquat
0,0,0,0,0,0,0,0,0,0,adhérer
0,0,0,0,0,0,0,0,0,0,adhérence
0,0,0,0,0,0,0,0,0,0,adhérent
0,0,0,0,0,0,0,0,0,1,adhérer
0,0,0,0,0,0,0,0,0,0,adhésion
0,0,0,0,0,0,0,0,0,0,adhésif
0,0,0,0,0,0,0,0,0,0,Adieu
0,0,0,0,0,1,0,0,0,0,adipeux
0,0,0,0,0,0,0,0,0,0,proximité
0,0,0,0,0,0,0,0,0,0,adjacent
0,0,0,0,0,0,0,0,0,0,adjectif
0,0,0,0,0,0,0,0,0,0,attenant
0,0,0,0,0,0,0,0,0,0,ajourner
0,0,0,0,0,0,0,0,0,0,ajournement
0,0,0,1,0,1,0,0,0,0,juger
0,0,0,0,0,0,0,0,0,0,arbitrage
0,0,0,0,0,0,1,0,0,0,auxiliaire
0,0,0,0,0,0,0,0,0,0,régler
0,0,0,0,0,0,0,0,0,0,ajustement
0,0,0,0,0,0,0,0,0,0,adjuvant
0,0,0,0,0,0,0,0,0,0,administrer
0,0,0,0,0,0,0,0,0,0,administration
0,0,0,0,0,0,0,0,0,1,administratif
0,0,0,0,1,0,1,0,0,1,admirable
0,0,0,0,0,0,1,0,0,1,amiral
0,0,0,0,0,0,0,0,0,0,amirauté
0,0,0,0,1,0,1,0,0,1,admiration
0,0,0,0,0,0,1,0,0,1,admirer
0,0,0,0,0,0,1,0,0,0,admirateur
0,0,0,0,0,0,0,0,0,0,recevabilité
0,0,0,0,0,0,1,0,0,1,admissible
0,0,0,0,0,0,0,0,0,0,admission
0,0,0,0,0,0,0,0,0,0,admettre
0,0,0,0,0,0,0,0,0,0,admission
0,0,0,0,0,0,0,0,0,0,admis
0,0,0,0,0,0,0,0,0,0,admettant
0,0,0,0,0,0,0,0,0,0,mélange
0,0,0,1,0,1,0,0,0,0,admonition
0,0,0,0,0,0,0,0,0,0,ado
0,0,0,0,0,0,0,0,0,0,adobe
0,0,0,0,0,0,0,0,0,0,adolescence
0,0,0,0,0,0,0,0,0,0,adolescente
0,0,0,0,0,0,0,0,0,0,adopter
0,0,0,0,0,0,0,0,0,0,adoption
0,0,0,0,1,0,1,0,0,0,adorable
0,0,0,0,1,0,1,0,0,1,adoration
0,1,0,0,1,0,1,0,0,1,adorer
0,0,0,0,0,0,0,0,0,0,orner
0,0,0,0,0,0,0,0,0,0,ornement
0,1,0,1,0,1,0,1,0,0,à la dérive
0,0,0,0,0,0,0,0,0,0,adulte
0,0,0,0,0,1,0,0,0,0,frelaté
0,0,1,0,0,1,0,1,0,0,adultère
0,1,0,1,1,0,1,0,1,0,avance
0,0,0,0,0,0,1,0,0,0,Avancée
0,0,0,0,0,0,1,0,0,0,avancement
0,0,0,0,0,0,0,0,0,0,avancer
0,0,0,0,0,0,1,0,0,0,avantage
0,0,0,0,0,0,1,0,0,0,avantageux
0,1,0,0,1,0,1,0,0,1,avènement
0,1,0,0,0,0,1,0,0,0,aventure
0,0,0,0,0,0,0,0,0,0,aventurier
0,0,0,0,0,0,1,0,0,0,aventureux
1,0,0,0,0,1,0,0,0,0,adversaire
1,0,1,1,0,1,0,1,0,0,négatif
1,0,0,1,0,1,0,1,0,0,adversité
0,0,0,0,0,0,0,0,0,0,afficher
0,0,0,0,0,0,0,0,0,0,publicité
0,0,0,0,0,0,0,0,0,1,conseils
0,0,0,0,0,0,1,0,0,1,conseillé
0,0,0,0,0,0,1,0,0,1,conseiller
0,0,0,0,0,0,0,0,0,1,informé
0,0,0,0,0,0,0,0,0,0,avis
0,0,0,0,0,0,1,0,0,1,conseiller
1,1,0,0,1,0,1,0,0,1,plaidoyer
0,0,0,0,0,0,0,0,0,1,avocat
0,0,0,0,0,0,0,0,0,0,égide
0,0,0,0,0,0,0,0,0,0,aération
0,0,0,0,0,0,0,0,0,0,aérien
0,0,0,0,0,0,0,0,0,0,aérodrome
0,0,0,0,0,0,0,0,0,0,aérodynamique
0,0,0,0,0,0,0,0,0,0,aéronautiques
0,0,0,0,0,0,0,0,0,0,avion
0,0,0,0,0,0,1,0,0,0,esthétique
0,0,0,0,1,0,1,0,0,0,esthétique
0,0,0,0,0,0,0,0,0,0,étiologie
0,0,0,0,0,0,0,0,0,0,au loin
0,0,0,0,0,0,1,0,0,0,affable
0,0,0,0,0,0,0,0,0,0,aventure
0,0,0,0,0,0,0,0,0,0,affectant
0,0,0,0,1,0,1,0,0,1,affection
0,0,0,0,0,0,0,0,0,0,affections
0,0,0,0,0,0,0,0,0,0,affiche
0,0,0,0,0,0,0,0,0,0,déclaration sous serment
0,0,0,0,0,0,1,0,0,0,affilié
0,0,0,0,0,0,0,0,0,0,affiliation
0,0,0,0,0,0,0,0,0,0,affinité
0,0,0,0,0,0,1,0,0,1,affirmer
0,0,0,0,0,0,1,0,0,0,affirmation
0,0,0,0,0,0,1,0,0,0,affirmative
0,0,0,0,0,0,1,0,0,1,affirmativement
0,0,0,0,0,0,0,0,0,0,affixe
0,0,0,1,0,1,0,1,0,0,affliger
0,0,0,0,0,1,0,0,0,0,affligé
0,0,1,1,0,1,0,1,0,0,affliction
0,0,0,0,1,0,1,0,0,0,richesse
0,0,0,0,0,0,1,0,0,0,affluent
0,0,0,0,0,0,1,0,0,0,s'offrir
1,0,1,1,0,1,0,1,1,0,affront
0,0,0,0,0,0,0,0,0,0,un champ
0,0,0,0,0,0,0,0,0,0,avant
0,0,0,0,0,0,0,0,0,0,susmentionné
0,0,0,0,0,0,0,0,0,0,précité
0,0,0,1,0,1,0,0,0,0,peur
0,0,0,0,0,0,0,0,0,0,de nouveau
0,0,0,0,0,0,0,0,0,0,à l'arrière
1,0,1,1,0,1,0,1,0,0,conséquences
0,0,0,0,0,0,0,0,0,0,après midi
0,0,0,0,0,1,0,0,0,0,arrière-goût
0,0,0,0,0,0,0,0,0,0,après coup
0,0,0,1,0,0,1,0,0,1,aga
0,0,0,0,0,0,0,0,0,0,agate
0,0,0,0,0,0,0,0,0,0,âge
0,0,0,0,0,0,0,0,0,0,vieilli
0,0,0,0,0,0,0,0,0,0,agence
0,0,0,0,0,0,0,0,0,0,agent
0,0,0,0,0,0,0,0,0,0,une agglomération
1,0,0,0,0,1,0,0,0,0,aggravé
1,0,0,0,0,1,0,1,0,0,aggravant
1,0,1,0,0,1,0,0,0,0,aggravation
0,0,0,0,0,0,0,0,0,0,agrégat
0,0,0,0,0,0,0,0,0,0,agrégation
1,0,0,1,0,1,0,0,0,0,agression
1,0,0,1,0,1,0,0,0,0,agressif
1,0,0,1,0,1,0,0,0,0,agresseur
0,0,1,1,0,1,0,0,1,0,atterré
0,0,0,0,0,0,1,0,0,0,agile
0,0,0,0,0,0,1,0,0,0,agilité
1,0,0,0,0,1,0,0,0,0,agité
1,0,0,0,0,1,0,0,0,0,agitation
0,0,0,0,0,0,0,0,0,0,agnostique
0,0,0,0,0,0,0,0,0,0,depuis
0,0,0,1,0,1,0,0,0,0,angoissant
1,0,0,1,0,1,0,1,0,0,agonie
0,0,0,0,0,0,1,0,0,0,Je suis d'accord
0,0,0,0,0,0,1,0,0,1,agréable
0,0,0,0,0,0,1,0,0,1,convenu
0,0,0,0,0,0,1,0,0,1,être d'accord
0,0,0,0,0,0,1,0,0,1,accord
0,0,0,0,0,0,0,0,0,0,agricole
0,0,0,0,0,0,1,0,0,0,agriculture
0,0,0,0,0,1,0,0,0,0,échoué
0,0,0,0,0,0,0,0,0,0,eau
0,0,0,0,0,0,1,0,0,0,en avant
0,0,0,0,0,0,1,0,0,0,aide
0,0,0,0,0,0,1,0,0,0,aider
0,0,0,0,0,1,0,1,0,0,tout
0,0,0,1,0,1,0,1,0,0,malade
0,0,0,0,0,0,0,0,0,0,maladie
0,0,0,0,0,0,0,0,0,0,objectif
0,0,0,0,0,1,0,0,0,0,sans but
0,0,0,0,0,0,0,0,0,0,air
0,0,0,0,0,0,0,0,0,0,airbag
0,0,0,0,0,0,0,0,0,0,pont aérien
0,0,0,0,0,0,0,0,0,0,Compagnie aérienne
0,0,0,0,0,0,0,0,0,0,aviateur
0,0,0,0,0,0,0,0,0,0,avion
0,1,0,0,0,0,0,0,0,0,aéroport
0,0,1,0,0,1,0,0,0,0,des airs
0,0,0,0,0,0,0,0,0,0,dirigeable
0,0,0,0,0,0,0,0,0,0,allée
0,0,0,0,0,0,0,0,0,0,ait
0,0,0,0,0,0,0,0,0,0,entrouvert
0,0,0,0,0,0,0,0,0,1,proche
0,0,0,0,0,0,1,0,0,0,albâtre
0,0,0,1,0,1,0,0,1,0,alarme
0,0,0,1,0,1,0,0,1,0,alarmant
0,0,0,0,0,0,0,0,0,1,aube
0,0,0,0,0,0,0,0,0,0,album
0,0,0,0,0,0,0,0,0,0,alchimie
0,0,0,0,0,0,0,0,0,0,de l'alcool
1,0,1,1,0,1,0,1,0,0,alcoolisme
0,0,0,0,0,0,0,0,0,0,alcôve
0,0,0,0,0,0,0,0,0,0,alerte
0,1,0,1,0,0,1,0,1,0,vigilance
0,1,0,1,0,0,0,0,1,0,alertes
0,0,0,0,0,0,0,0,0,0,luzerne
0,0,0,0,0,0,0,0,0,0,algèbre
0,0,0,0,0,0,0,0,0,0,algébrique
0,0,0,0,0,0,0,0,0,0,algorithme
0,0,0,0,0,0,0,0,0,0,alibi
0,0,1,1,0,1,0,0,0,0,extraterrestre
1,0,1,0,0,1,0,0,0,0,aliéner
0,0,0,0,0,1,0,1,0,0,aliéné
1,0,1,1,0,1,0,1,0,0,aliénation
0,0,0,0,0,0,0,0,0,0,une lumière
0,0,0,0,0,0,0,0,0,0,aligné
0,0,0,0,0,0,0,0,0,0,alignement
0,0,0,0,0,0,0,0,0,0,ressemblent
0,0,0,0,0,0,1,0,0,0,alimentation
0,0,0,0,0,1,0,0,0,0,pension
0,0,0,0,0,0,0,0,0,0,aliquote
0,1,0,0,1,0,1,0,0,1,vivant
0,0,0,0,0,0,0,0,0,0,alcali
0,0,0,0,0,0,0,0,0,0,alcaloïdes
0,0,0,0,0,0,1,0,0,0,apaiser
1,0,0,0,0,1,0,0,0,0,allégation
0,0,0,0,0,1,0,0,0,0,alléguer
0,0,0,0,0,0,0,0,0,0,allégué
0,0,0,0,0,0,1,0,0,1,allégeance
0,0,0,0,0,0,0,0,0,0,allégorique
0,0,0,0,0,0,0,0,0,0,allégorie
0,0,0,0,0,0,1,0,0,0,allegro
0,0,0,0,0,0,1,0,0,0,soulager
0,0,0,0,0,0,1,0,0,0,allégement
0,0,0,0,0,0,0,0,0,0,ruelle
0,0,0,0,0,0,0,0,0,1,Alliance
0,0,0,0,0,0,1,0,0,1,allié
0,0,0,0,0,0,0,0,0,0,alligator
0,0,0,0,0,0,0,0,0,0,allouer
0,0,0,0,0,0,0,0,0,0,allocation
0,0,0,0,0,0,0,0,0,0,attribuer
0,0,0,0,0,0,0,0,0,0,attribution
0,0,0,0,0,0,1,0,0,0,admissible
0,0,0,0,0,0,0,0,0,0,allocation
0,0,0,0,0,0,0,0,0,0,autorisé
0,0,0,0,0,0,0,0,0,0,alliage
0,1,0,0,1,0,1,0,1,0,séduire
0,0,0,0,0,0,1,0,0,0,séduisant
0,0,0,0,0,0,0,0,0,0,allusion
0,0,0,0,0,0,0,0,0,0,alluvial
0,0,0,0,0,0,1,0,0,1,allié
0,0,0,0,0,0,0,0,0,0,almanach
0,0,0,0,0,0,1,0,0,0,tout-puissant
0,0,0,0,0,0,0,0,0,0,en haut
0,1,0,0,1,0,1,0,0,0,aloha
0,0,0,0,0,0,0,0,0,0,aux côtés de
0,0,0,0,0,1,0,0,0,0,distant
0,0,0,0,0,0,0,0,0,0,à haute voix
0,0,0,0,0,0,0,0,0,0,alphabet
0,0,0,0,0,0,0,0,0,0,alphabétique
0,0,0,0,0,0,0,0,0,0,autel
0,0,0,0,0,0,0,0,0,0,modifier
0,0,0,0,0,0,0,0,0,0,altération
1,0,0,0,0,1,0,0,0,0,altercation
0,0,0,0,0,0,0,0,0,0,altéré
0,0,0,0,0,0,0,0,0,0,alterner
0,0,0,0,0,0,0,0,0,0,alternative
0,0,0,0,0,0,0,0,0,0,altitude
0,0,0,0,0,0,0,0,0,0,alto
0,0,0,0,0,0,0,0,0,0,tout à fait
0,0,0,0,0,0,0,0,0,0,ancien élève
0,0,0,0,0,0,0,0,0,0,alvéolaire
0,0,0,0,0,0,0,0,0,0,amalgame
0,0,0,0,0,0,0,0,0,0,fusion
0,0,0,0,0,0,0,0,0,0,amasser
0,0,0,0,0,0,0,0,0,0,amateur
0,0,0,0,0,0,0,0,1,0,étonner
0,0,0,0,0,0,0,0,0,0,stupéfaction
0,0,0,0,1,0,1,0,1,0,étonnamment
0,0,0,0,0,0,1,0,0,1,ambassadeur
0,0,0,0,0,0,0,0,0,0,ambre
0,0,0,0,0,0,0,0,0,0,ambiant
0,0,0,0,0,0,0,0,0,0,ambiguïté
0,0,0,0,0,1,0,0,0,0,ambiguë
0,0,0,0,0,0,0,0,0,0,portée
0,1,0,0,1,0,1,0,0,1,ambition
0,0,0,0,0,0,0,0,0,0,ambitieux
0,0,0,1,0,0,0,0,0,1,ambulance
1,0,0,1,0,1,0,0,1,0,embuscade
0,0,0,0,0,0,1,0,0,0,améliorer
0,0,0,0,1,0,1,0,0,1,amen
0,0,0,0,0,0,1,0,0,0,docile
0,0,0,0,0,0,1,0,0,0,modifier
0,0,0,0,0,0,0,0,0,0,amendement
0,0,0,0,0,0,1,0,0,0,amende
0,0,0,0,0,0,1,0,0,0,aménité
0,0,0,0,0,0,0,0,0,0,améthyste
0,0,0,0,0,0,1,0,0,0,aimable
0,0,0,0,1,0,1,0,0,0,amical
0,0,0,0,0,0,0,0,0,0,parmi
0,0,0,0,0,0,0,0,0,0,au milieu de
0,0,1,0,0,0,0,0,0,0,ammoniac
0,0,0,0,0,0,0,0,0,0,munition
0,0,0,0,0,1,0,0,0,0,amnésie
0,0,0,0,1,0,1,0,0,0,amnistie
0,0,0,0,0,0,0,0,0,0,amorphe
0,0,0,0,0,0,0,0,0,1,amortissement
0,0,0,0,0,0,0,0,0,0,montant
0,1,0,0,1,0,1,0,0,1,amour
0,0,0,0,0,0,0,0,0,0,esperluette
0,0,1,0,0,1,0,0,0,0,amphétamines
0,0,0,0,0,0,0,0,0,0,amphibie
0,0,0,0,0,0,0,0,0,0,amphibie
0,0,0,0,0,0,0,0,0,0,amphithéâtre
0,0,0,0,0,0,0,0,0,0,amplification
0,0,0,0,0,0,0,0,0,0,amplifier
0,0,0,0,0,0,0,0,0,0,amplitude
0,0,0,0,0,0,0,0,0,0,amplement
0,0,0,0,0,0,0,0,0,0,amputation
0,0,0,0,0,0,0,0,0,0,amulette
0,0,0,0,1,0,1,0,0,0,amuser
0,0,0,0,1,0,1,0,0,0,amusé
0,0,0,0,1,0,1,0,0,0,amusement
0,0,0,0,1,0,1,0,0,0,amusant
0,0,0,0,0,0,0,0,0,0,Ana
0,0,1,1,0,1,0,0,0,0,anaconda
0,0,0,0,0,0,0,0,0,0,anesthésie
0,0,0,0,0,0,0,0,0,0,anesthésique
0,0,0,0,0,1,0,0,0,0,anal
0,0,0,0,0,0,0,0,0,0,analgésique
0,0,0,0,0,0,0,0,0,0,analogue
0,0,0,0,0,0,0,0,0,0,analogue
0,0,0,0,0,0,0,0,0,0,analogie
0,0,0,0,0,0,0,0,0,0,une analyse
0,1,0,0,0,0,1,0,0,1,analyste
0,0,0,0,0,0,0,0,0,0,analytique
0,0,0,0,0,0,0,0,0,0,analyser
0,0,0,0,0,0,0,0,0,0,analyseur
1,0,0,1,0,1,0,0,0,0,anarchisme
1,0,0,1,0,1,0,0,0,0,anarchiste
1,0,0,1,0,1,0,0,0,0,anarchie
0,0,0,0,0,0,0,0,0,0,anastomose
1,0,1,1,0,1,0,1,0,0,anathème
0,0,0,0,0,0,0,0,0,0,anatomique
0,0,0,0,0,0,0,0,0,0,anatomie
0,0,0,0,0,0,0,0,0,0,ancêtre
0,0,0,0,0,0,0,0,0,1,ancestral
0,0,0,0,0,0,0,0,0,0,ascendance
0,0,0,0,0,0,1,0,0,0,ancre
0,0,0,0,0,0,1,1,0,0,ancrage
0,0,0,0,0,1,0,0,0,0,ancien
0,0,0,0,0,0,0,0,0,0,auxiliaire
0,0,0,0,0,0,0,0,0,0,androgène
0,0,0,0,0,0,0,0,0,0,anémone
0,0,0,0,0,0,0,0,0,0,un nouveau
0,1,0,0,1,0,1,0,1,1,ange
0,0,0,0,1,0,1,0,0,1,angélique
1,0,0,0,0,1,0,0,0,0,colère
0,0,0,1,0,1,0,0,0,0,angine
0,0,0,0,0,0,0,0,0,0,angiographie
0,0,0,0,0,0,0,0,0,0,angle
0,1,0,0,0,1,0,0,0,0,pêche à la ligne
1,0,1,0,0,1,0,0,0,0,fâché
1,0,0,1,0,1,0,1,0,0,angoisse
0,0,0,0,0,0,0,0,0,0,angulaire
0,0,0,0,0,0,0,0,0,0,anhydre
0,0,0,0,0,0,0,0,0,0,animal
0,0,0,0,0,0,1,0,0,0,animer
0,0,0,0,1,0,1,0,0,0,Animé
0,0,0,0,0,0,0,0,0,0,animation
1,0,1,1,0,1,0,1,0,0,animosité
1,0,0,0,0,1,0,0,0,0,animus
0,0,0,0,0,0,0,0,0,0,la cheville
0,0,0,0,0,0,0,0,0,0,annales
0,0,0,0,0,0,0,0,0,0,annexe
0,0,0,0,0,0,0,0,0,0,annexion
0,0,0,0,0,0,0,0,0,0,annexe
1,0,0,1,0,1,0,0,0,0,annihiler
1,0,0,1,0,1,0,1,0,0,anéanti
1,0,0,1,0,1,0,1,0,0,annihilation
0,0,0,0,0,0,0,0,0,0,annoter
0,0,0,0,0,0,0,0,0,0,annotation
0,0,0,0,0,0,0,0,0,0,annoncer
0,1,0,0,0,0,0,0,0,0,annonce
1,0,1,0,0,1,0,0,0,0,ennuyer
1,0,1,0,0,1,0,0,0,0,contrariété
1,0,0,0,0,1,0,0,0,0,énervant
0,0,0,0,0,0,0,0,0,0,rente
0,0,0,0,0,1,0,0,0,0,annuler
0,0,0,0,0,0,0,0,0,0,annulaire
0,0,0,0,0,1,0,1,0,0,annulation
0,0,0,0,0,0,0,0,0,0,anneau
0,0,0,0,0,0,0,0,0,0,onction
0,0,0,0,0,0,0,0,0,0,anormal
0,0,0,1,0,1,0,0,1,0,anomalie
0,0,0,0,0,0,0,0,0,0,anon
0,0,0,0,0,1,0,0,0,0,anonyme
0,0,0,0,0,0,0,0,0,0,réponse
0,0,0,0,0,0,0,0,0,1,responsable
0,0,0,0,0,0,0,0,0,0,répondre
0,0,0,0,0,0,0,0,0,0,fourmi
1,0,0,0,0,1,0,0,0,0,antagonisme
1,0,0,0,0,1,0,0,0,0,antagoniste
1,0,1,0,0,1,0,0,0,0,antagoniste
0,0,0,0,0,0,0,0,0,0,avant
0,0,0,0,0,0,0,0,0,0,antécédent
0,0,0,0,0,0,0,0,0,0,antilope
0,0,0,0,0,0,0,0,0,0,antenne
0,0,0,0,0,0,0,0,0,0,antérieur
0,0,0,0,0,0,0,0,0,0,hymne
0,0,0,0,0,0,0,0,0,0,anthologie
